,STATION CODE,Potability
381,2271.0,0
382,2273.0,0
383,3183.0,0
384,3184.0,0
385,3190.0,0
386,3191.0,0
387,1547.0,1
388,3188.0,1
389,1544.0,0
392,2673.0,0
393,2374.0,0
394,2375.0,0
395,1781.0,0
396,1157.0,0
397,1891.0,1
400,2719.0,0
401,2720.0,0
402,2721.0,0
403,2174.0,0
404,2156.0,0
405,1212.0,0
406,1213.0,0
407,1214.0,0
408,3330.0,1
409,1910.0,0
410,2173.0,0
411,2172.0,0
412,2175.0,0
413,2176.0,0
414,11.0,0
415,1908.0,0
416,3312.0,0
417,1909.0,0
418,2170.0,0
419,2171.0,0
420,1913.0,0
421,2700.0,0
422,1315.0,0
423,2372.0,1
425,2657.0,0
426,2660.0,0
427,2661.0,0
428,2662.0,0
429,2663.0,0
430,2664.0,0
431,2697.0,0
432,2698.0,0
433,2699.0,0
434,2722.0,0
435,2723.0,0
436,1185.0,1
437,1163.0,1
438,1187.0,0
439,1164.0,1
440,1186.0,0
441,2764.0,0
442,38.0,0
443,1029.0,0
444,29.0,1
445,2768.0,0
446,2769.0,0
447,2770.0,0
448,2776.0,1
449,2766.0,0
450,2767.0,0
451,1174.0,1
452,1785.0,0
453,1168.0,0
454,1896.0,0
455,1091.0,0
456,1387.0,0
457,1169.0,0
458,2765.0,0
459,2771.0,1
463,3082.0,0
464,1178.0,1
465,1177.0,1
466,1895.0,1
467,2777.0,1
468,2349.0,0
469,2351.0,0
470,2763.0,1
471,1549.0,0
472,2269.0,0
473,3175.0,0
474,3176.0,0
475,3177.0,0
476,3178.0,0
477,3179.0,0
478,3180.0,1
480,1343.0,0
481,1344.0,0
482,1345.0,0
483,1346.0,0
488,1975.0,0
489,1976.0,0
498,1979.0,0
499,1971.0,0
500,1373.0,0
501,1374.0,0
502,1466.0,0
503,2128.0,0
504,2129.0,0
505,2135.0,0
506,2136.0,0
507,2137.0,0
508,2138.0,0
509,2139.0,0
510,2140.0,0
511,2141.0,0
512,3299.0,0
513,3300.0,0
514,3301.0,0
518,1285.0,0
519,1286.0,0
520,1414.0,1
521,1481.0,0
522,1714.0,1
523,1716.0,0
524,2935.0,1
525,2936.0,0
526,2937.0,0
527,2938.0,1
528,2939.0,1
529,2940.0,1
530,2941.0,0
531,2942.0,1
532,2943.0,1
533,2944.0,0
599,1342.0,0
600,1443.0,1
601,3465.0,0
602,3466.0,0
603,2297.0,0
604,2319.0,0
605,2286.0,1
606,2331.0,1
607,2332.0,1
608,1154.0,1
609,20.0,1
610,21.0,1
611,3464.0,1
612,1572.0,1
613,1573.0,0
614,2295.0,1
615,1564.0,0
616,2287.0,1
617,1566.0,0
618,2293.0,0
619,2337.0,0
620,2338.0,0
621,42.0,0
622,2294.0,0
623,3460.0,1
624,3458.0,0
625,1571.0,1
626,1155.0,0
627,3471.0,0
628,2289.0,1
629,2301.0,0
630,2291.0,1
631,2326.0,1
632,1569.0,0
633,2298.0,0
634,1567.0,1
635,1568.0,0
636,2285.0,1
637,1340.0,1
638,1384.0,1
639,3459.0,0
640,2307.0,1
641,1339.0,1
642,2304.0,0
643,43.0,1
644,2302.0,0
645,1570.0,1
646,1563.0,1
647,2284.0,0
648,2288.0,1
649,1156.0,0
650,1341.0,1
651,1565.0,0
652,17.0,1
653,18.0,1
654,1338.0,1
655,2333.0,1
656,2334.0,1
657,2335.0,0
658,2336.0,1
659,3468.0,0
660,2300.0,1
661,2303.0,1
662,2290.0,1
663,2299.0,1
664,2305.0,1
665,2296.0,1
666,2292.0,1
667,2306.0,1
668,3473.0,0
669,1442.0,1
670,1448.0,0
671,2352.0,0
672,3080.0,1
673,3081.0,1
674,1444.0,0
675,2780.0,0
676,1894.0,1
677,1892.0,1
678,2423.0,0
679,2424.0,0
680,2425.0,0
681,2422.0,0
682,1642.0,0
683,1643.0,0
684,1455.0,1
685,1456.0,1
686,2426.0,0
687,2427.0,0
693,1450.0,0
694,1159.0,0
695,1160.0,1
696,1161.0,1
697,1162.0,0
698,1328.0,1
699,1329.0,0
700,1330.0,0
701,3025.0,0
702,3026.0,1
703,3027.0,0
704,3028.0,0
705,3029.0,0
706,3023.0,0
