station_code,areas,region
120,"KRISHNaN AT D/S OF DEVASAGAR BDG.,KARNaNTAKA",KARNaNTAKA
121,"KRISHNaN AT TINTINI BRIDGE, KARNaNTAKA",KARNaNTAKA
122,"KRISHNaN AT D/S OF ALAMATTI DAM, KARNaNTAKA",KARNaNTAKA
124,"KRISHNaN AFTER CONFL. WITH TUNGABHADRA, SANGAMESHWARAM A.P.",ANDHRA PRADESH
126,"KRISHNaN AT WADAPALLY AFTER CONFL. WITH R. MUSI, A.P.(SHIFTED FROM 1220)",ANDHRA PRADESH
127,"VEDADRI , GUNTUR DIST., A.P",ANDHRA PRADESH
128,"AMARAVATI , GUNTUR DIST., A.P",ANDHRA PRADESH
129,"KRISHNaN AT VIJAYWADA, A.P.",ANDHRA PRADESH
130,"KRISHNaN D/S OF SRISHAILAM,��KURNOOL, A.P.",ANDHRA PRADESH
131,"HAMSALA DEEVI , GUNTUR DIST, A.P",ANDHRA PRADESH
134,"YAMUNaN , U/S PAONTA SAHIB, H.P",HIMACHAL PRADESH
135,"YAMUNaN , D/S PAONTA SAHIB, H.P",HIMACHAL PRADESH
139,"YAMUNaN AT KESIGHAT, VRINDAVAN",UTTAR PRADESH
140,"YAMUNaN AT VISHRAMGHAT, MATHURA",UTTAR PRADESH
141,YAMUNaN AT SHAHPUR,UTTAR PRADESH
142,"YAMUNaN AT ALLAHABAD D/S (BALUA GHAT), U.P",UTTAR PRADESH
144,YAGACHI RIVER NEAR PUMPING STATION. HASSAN CITY,KARNaNTAKA
145,HEMAVATI AT D/S OF HOLENaNRASIPURA TOWN AT RAMADEVALA WEIR,KARNaNTAKA
147,"SHIMSHA AT D/S OF BRIDGE, HALAGUR, KARNaNTAKA",KARNaNTAKA
148,"ARKAVATHI AT D/S OF KANaNKAPURA TOWN, KARNaNTAKA",KARNaNTAKA
149,"ARKAVATHI AT T.G. HALLI RESERVOIR, , KARNaNTAKA",KARNaNTAKA
150,"LAKSHMANTIRTHA��AT D/S OF HUNSUR TOWN, KARNaNTAKA",KARNaNTAKA
151,"LAKSHMANTIRTHA��AT D/S OF KATTEMALAVADI, KARNaNTAKA",KARNaNTAKA
152,"KABBANI AT MUTHANKARA, KERALA",KERALA
153,"KABBANI AT SARAGUR VILLAGE D/S, KARNaNTAKA",KARNaNTAKA
154,"KABBANI AT CAUSE WAY��SATTUR, KARNaNTAKA",KARNaNTAKA
155,"KABBANI AT WATER INTAKE OF KIADB AT NaNJANGUD,KARNaNTAKA",KARNaNTAKA
156,"KABINI AT BATHING GHAT, NaNJANaNGUD, KARNaNTAKA",KARNaNTAKA
157,"BHAVANI AT ELACHIVAZHY, KERALA",KERALA
158,"BHAVANI AT PATHIRAKALIAMMAN KOIL, TAMILNaNDU",TAMILNaNDU
159,"BHAVANI AT SIRUMUGAI,TAMILNaNDU",TAMILNaNDU
160,"BHAVANI AT BHAVANI SAGAR, TAMILNaNDU",TAMILNaNDU
161,"BHAVANI AT BHAVANI, TAMILNaNDU",TAMILNaNDU
162,"BHAVANI AT D/S OF BHAVANISAGAR, SATHYAMANGALAM, ERODE, TAMILNaNDU",TAMILNaNDU
163,"U/S OF KALINGARAYAN CANaNL (B5), ERODE, TAMILNaNDU",TAMILNaNDU
164,"D/S OF KALINGARAYAN CANaNL (B10), ERODE, TAMILNaNDU",TAMILNaNDU
165,"TONS RIVER, H.P",HIMACHAL PRADESH
166,ASHWANI AT U/S YASHWANT NaNGAR,HIMACHAL PRADESH
167,BATTA AT U/S PAONTA,HIMACHAL PRADESH
168,BATTA BEFORE CONFLUENCE TO YAMUNaN,HIMACHAL PRADESH
169,GIRI AT D/S YASHWANT NaNGAR,HIMACHAL PRADESH
170,GIRI AT U/S CCI MINES,HIMACHAL PRADESH
171,GIRI D/S SATAUN,HIMACHAL PRADESH
172,PABBAR AT U/S DHAMBARI,HIMACHAL PRADESH
173,PABBAR AT U/S ROHRU,HIMACHAL PRADESH
174,PABBAR AT D/S SWARAKUDDU,HIMACHAL PRADESH
176,"HINDON AT GHAZIABAD D/S, U.P.",UTTAR PRADESH
177,"HINDON AT SAHARANPUR D/S, U.P.",UTTAR PRADESH
178,"TONS AT CHAKGHAT, M.P.",MADHYA PRADESH
181,"BETWA AT GOVIND SAGAR, U.P",UTTAR PRADESH
182,"BETWA BEFORE CONF. YAMUNaN AT HAMIRPUR, U.P.",UTTAR PRADESH
185,"CHAMBAL ENTERING IN RAJASTHAN AT GANDHI SAGAR DAM, KOTA, RAJASTHAN",RAJASTHAN
187,"CHAMBAL AT KOTA U/S (INTAKE PT. NEAR BARRAGE), RAJASTHAN",RAJASTHAN
188,"CHAMBAL AT KOTA D/S (2 KM. FROM CITY),RAJASTHAN",RAJASTHAN
189,"CHAMBAL AT RAMESHWARGHAT NR. SAWAIMADHOPUR, RAJASTHAN",RAJASTHAN
193,"PARVATI BEFORE MEETING RIVER CHAMBAL AT KHATOLI, KOTA, RAJASTHAN",RAJASTHAN
195,KHAN AT KABIT KHEDI (NEAR INDORE) M.P.,MADHYA PRADESH
199,"KALI SINDH AT ANICUT OF M/S CFCL GADEPAN, KOTA, RAJASTHAN",RAJASTHAN
200,"KALI SINDH AT BAROD ROAD BRIDGE, KOTA, RAJASTHAN",RAJASTHAN
202,"BICHIA, BRIDGE GOVINDGARH ROAD",MADHYA PRADESH
206,"BANaNS AT DHANaNRI DAM, NEAR SWAROOPGANJ, SIROHI, RAJASTHAN",RAJASTHAN
208,"BANaNS AT NEAR NEWTA DAM, JAIPUR, RAJASTHAN",RAJASTHAN
210,"UJAD AT UPSTREAM OF BHIM SAGAR DAM, JHALAWAR, RAJASTHAN",RAJASTHAN
211,TEESTA AT SILIGURI,WEST BENGAL
212,"KUNDLI RIVER AT KUNDLI/ SAPAKHOWA, SADIA.",ASSAM
213,DIKHOW RIVER AT DIKHOW BRIDGE SIVASAGAR,ASSAM
214,"KOHORA RIVER AT N.H. CROSSING, KOHORA",ASSAM
215,"BOGINaNDI NEAR BRIDGE NH-52, LAKHIMPUR",ASSAM
216,RANGA NaNDI D/S OF HYDEL PROJECT,ASSAM
217,"KAPILI RIVER AT DHARMTUL BRIDGE, NH-31, NaNGAON",ASSAM
218,BEKI RIVER AT NH-37 CROSSING AT BARPETA ROAD,ASSAM
219,"SANKOSH RIVER, DHUBRI",ASSAM
220,BARAK RIVER AT D/S OF SILCHAR,ASSAM
221,SONaNI RIVER AT SONaNI,ASSAM
222,KUSHIARA RIVER AT KARIMGANJ,ASSAM
223,"KAROLA, D/S OF JALPAIGURI, NEAR MIN BHAWAN",WEST BENGAL
224,"KALJANI D/S OF ALIPURDWAR, MUNICIPALITY DISCHARGE POINT�",WEST BENGAL
225,"PANCHNaNI RIVER AT NH-52 CROSSING, ORANG",ASSAM
233,"RAMGANGA AT KANNaNUJ (BEFORE CONF.),U.P",UTTAR PRADESH
235,"KALINaNDI AT KANNaNUJ (BEFORE CONF.),U.P",UTTAR PRADESH
236,"VARUNaN AT RAMESHWAR, VARANaNSI",UTTAR PRADESH
237,VARUNaN B/C WITH RIVER GANGA AT VARANaNSI,UTTAR PRADESH
1067,"SAL AT KHAREBAND, MARGAO",GOA
238,"SAI AT UNNaNO AFTER DRAIN OUTFALL, U.P.",UTTAR PRADESH
239,"SAI AT JALALPUR, JAUNPUR",UTTAR PRADESH
240,"GOMTI AT SITAPUR U/S AT WATER INTAKE, U.P.",UTTAR PRADESH
241,"GOMTI AT LUCKNOW U/S AT WATER INTAKE POINT,U.P.",UTTAR PRADESH
242,"GOMTI AT LUCKNOW D/S, U.P.",UTTAR PRADESH
243,"GOMTI AT JAUNPUR D/S, U.P.",UTTAR PRADESH
244,"GOMTI AT VARANaNSI, U.P",UTTAR PRADESH
245,"RAPTI AT RAJGHAT, GORAKHPUR",UTTAR PRADESH
246,"RAPTI AFTER CONFL. OF R. HONIN NR. DOMINGARH RLY BRIDGE, GORAKHPUR, U.P.",UTTAR PRADESH
247,"SARYU AT AYODHYA AT MAIN BATHING GHAT, U.P.",UTTAR PRADESH
248,"GHAGHARA AT DEORIA D/S, U.P.",UTTAR PRADESH
249,"GHAGHRA AT BARHALGANJ, GORAKHPUR",UTTAR PRADESH
250,"GHAGHARA NEAR CHAPRA, BIHAR",BIHAR
251,"RIHAND AT RENUKUT U/S, U.P.",UTTAR PRADESH
252,"RIHAND AT RENUKUT D/S, U.P.",UTTAR PRADESH
253,"SONE AT KOELWAR, BIHAR",BIHAR
254,SONE RIVER NEAR BANZARI,BIHAR
255,SONE RIVER AT BAHIYARA,BIHAR
256,SONE RIVER AT NaNSIRIGANJ DAM,BIHAR
257,"GANDAK AT SONEPUR, PATNaN (BEFORE CONFL.),BIHAR",BIHAR
258,"GANDAK AT REWAGHAT, MUJAFFARPUR",BIHAR
259,GANDAK ATSAMASTIPUR ROAD BRIDGE,BIHAR
260,GANDAK RIVER U/S ROAD BRIDGE MUZAFFARPUR (NH),BIHAR
261,GANDAK RIVER GOPALGANJ - PIPRAKOTHI ROAD BRIDGE (DUMARIA GHAT),BIHAR
262,"SIKRAHNaN RIVER AT LAL PARSE, BITTIAH",BIHAR
263,SIKRANaN AT CHANPATIYA,BIHAR
264,SIKRAHNaN RIVER AT LAURIA - HARINaNGAR ROAD BRIDGE,BIHAR
265,"BURHI GANDAK AT AKHARAGHAT, MUZAFFARPUR",BIHAR
266,HARBORA RIVER AT NaNRKATIAGANJ,BIHAR
267,U/S HARBORA RIVER,BIHAR
268,KAMALA RIVER AT BENIPATTI (MADHUBANI),BIHAR
269,KAMALA RIVER AT DARBHANGA,BIHAR
270,KAMALA RIVER AT JAYNaNGAR,BIHAR
271,"MANUSMAR RIVER AT RIGA, SITAMARHI",BIHAR
272,KOSHI RIVER AT KURSHELA AT KATIHAR,BIHAR
273,KOSHI RIVER AT MADHEPURA,BIHAR
274,KOSHI RIVER AT BEERPUR,BIHAR
275,DAHA AT SIWAM,BIHAR
276,D/S DAHA RIVER AT SASAMUSA,BIHAR
277,"DAHA RIVER AT ITWA BRIDGE, SIWAN",BIHAR
278,DAHA RIVER AT MEERGANJ,BIHAR
279,DHOUS AT MADHUBANI,BIHAR
280,FARMAR AT JOGBANI,BIHAR
281,RAM REKHA RIVER AT HARINaNGAR,BIHAR
282,RAM REKHA RIVER AT U/S HARINaNGAR,BIHAR
283,SIRSA AT RUXOL,BIHAR
284,BAGMATI RIVER AT MUZAFFARPUR - SITAMARHI ROAD BRIDGE,BIHAR
285,BAGMATI RIVER AT DARBHANGA - SAMASTIPUR ROAD BRIDGE,BIHAR
287,PUNPUN RIVER NEAR PUNPUN RAIL BRIDGE,BIHAR
288,PUNPUN RIVER NEAR KINZER ROAD BRIDGE,BIHAR
289,SIRSIA RIVER D/S RAXAUL (KOERIA TOLA),BIHAR
290,"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",PUNJAB
