station_code,dis_oxy,ph,conduct,bod,nit,total_coli
297,5,7.3,1067,19.3,6.2,39533
298,5.3,7.2,970,13.3,5.9,7133
299,4.9,7.7,1418,21,4.2,49500
300,4.1,7.5,1015,23,6.1,57500
301,4.8,7.4,854,17,4.7,38000
302,4,6.8,370,3,0.8,9
303,7.8,7.8,376,1.3,0.4,17
304,7.7,7.7,354,1.3,0.3,22
305,7.6,7.9,344,1.6,0.4,22
306,4.4,7.1,694,41,1.2,224
307,5.9,8,401,0.9,0.7,15
308,6,7.2,106,0.8,0.4,15
309,5.6,7.9,326,1.1,0.8,4
310,6.2,8.1,592,1,0.7,6
311,6.6,7.8,95,4.9,0.2,36
312,6.9,7.9,99,5,0.4,34
313,6.8,7.7,85,5.2,0.3,23
314,6.7,7.8,80,4.9,0.3,29
315,5.1,7.3,3937,10.3,1.8,83
316,5.6,7.9,468,3.6,1.9,164
317,6.4,7.6,541,5.7,0.6,45
318,5.5,7.4,6166,7.7,1.1,67
319,5.3,7.7,24062,9.9,1.2,304
320,6.7,7.6,83,4.8,0.2,76
321,3.6,7.4,4424,31.3,2.2,474
323,5.9,7.4,268,6.4,0.4,68
324,5.4,7.5,2413,7.4,1.5,116
325,5.8,7.3,384,5.4,0.6,78
326,5.9,7.4,269,5.1,1.2,60
327,6,7.3,269,8.5,0.4,58
328,6.1,7.3,196,6.1,0.5,63
329,5.9,7.4,269,6.4,0.4,47
330,6.3,7.8,223,4.6,0.9,32
336,6.8,7.9,5390,4.9,0.8,28
337,6.6,8.1,161,4.6,0.3,32
338,6.7,8,138,5,0.3,33
339,6.7,7.8,81,4.9,0.3,35
340,5.9,7.7,194,5.5,0.6,51
341,6.3,7.6,186,4.6,0.6,31
342,6.6,7.6,207,4.7,0.7,31
343,6.8,7.7,85,5,0.4,34
351,3.7,7.9,453,7.5,2.2,1468
352,5.8,8.1,523,5.7,2.1,1529
353,5.9,7.9,524,11.1,3,609
354,3.3,7.7,424,13.7,3.1,1800
355,5.3,8,720,7.2,2.9,1700
356,5.4,8,755,7.2,3.2,1675
357,6.4,8.2,991,5.3,2,1425
358,6.2,8.2,1010,5.1,2.3,1529
359,6.8,8.4,949,3.8,0.3,1600
360,6.7,14.7,917,3,0.2,1542
361,7.6,8.1,834,2.1,0.2,1600
362,6.4,8.4,874,3,0.3,1483
363,5.7,7.2,189,2,0.2,8391
364,6.3,6.9,179,1.7,0.1,5330
365,5.8,6.9,64,3.8,0.5,8443
366,5.8,7.3,83,1.9,0.4,5500
367,5.5,7.4,81,1.5,0.1,4049
368,6.1,6.7,308,1.4,0.3,5672
369,6.4,6.7,414,1,0.2,9423
370,6.4,7.6,305,2.2,0.1,4990
371,6.3,7.6,77,2.3,0.1,4301
372,7.1,7.1,176,1.2,0.1,7817
373,6.7,6.4,93,1.4,0.1,3433
374,7.4,6.8,121,1.7,0.4,18125
375,6.9,7,620,1.1,0.1,6300
376,6,7.5,72,1.6,0.2,9517
377,7.3,7,247,1.5,0.2,2453
378,7.3,7,188,1,0.1,3048
379,7,6.9,224,1.2,0.3,6742
380,7.3,6.7,144,1.5,0.1,3052
381,5.3,6.8,319,1.8,0.3,10250
382,6.3,6.4,79,1.6,1.4,12842
383,5.4,7.6,39,1.4,0.1,6367
384,2.2,6.5,322,4.7,1.2,14920
385,5.2,7.1,192,2.6,0.3,8925
386,5.6,7.5,282,1.8,0.1,5082
387,5.5,7.4,275,1.5,0.1,8625
388,7.3,6.7,55,1.4,0.1,4003
389,6.5,7.5,415,2,0.1,1538
390,7.2,6.3,100,1.5,0.1,13575
393,6.6,7.9,1610,4.7,0.4,107
394,5.8,8.2,498,1.3,2,102
395,5.2,8.2,555,1.6,2.9,158
396,6.3,8.4,451,0.8,0.9,90
397,6.6,8.4,427,1,1,82
398,7,7.8,543,2.3,1.3,1400
401,5.1,8.1,369,11.3,1.1,220
402,6,8.2,403,8.9,1,130
403,6.2,8.2,458,8.9,2.2,140
404,5.1,8.2,577,10.7,2.3,140
405,5.4,8.1,678,10.6,2.7,80
406,5.7,8.2,498,8.9,2.1,70
407,7.4,7.4,450,2.2,0.4,67
408,7.3,8,386,2.3,1,95
409,7.7,8.1,292,1.5,4.8,36
410,4.8,8.3,482,10.8,6,277
411,5.9,8.1,341,9.1,1.2,132
412,5.3,8.2,273,9.6,1.7,180
413,6.2,8.2,393,9.1,2.4,170
414,5.3,8.2,388,10.6,1.2,240
415,5.7,8.2,366,8.6,0.9,280
416,5.5,8.2,607,10.4,2.9,193
417,7.4,7.7,403,2.1,0.3,127
418,4.8,8.2,477,10.5,6.7,221
419,5.5,8.2,534,10.1,2.7,157
420,5.1,8.2,523,11.1,2.7,222
421,4.7,8.4,940,15.1,11.5,273
422,4.2,8.4,685,13,8.4,420
423,5.1,8.3,435,9.7,2.5,231
424,6.9,7.5,469,0.8,0.5,1100
426,6.5,7.7,1127,5.7,0.3,108
427,5.2,7.9,306,4.5,2.2,136
428,4.7,7.9,262,3.4,1.2,106
429,5.5,8,247,3.7,1.1,104
430,5.4,8.1,244,3.6,1,117
431,4.9,7.9,272,3.4,0.6,155
432,5.8,8.3,506,8.5,2.6,34
433,5.1,8.3,534,9.5,3.2,50
434,4.9,8.4,966,12.8,11.7,247
435,5.2,8.3,432,9.8,2.3,186
436,4.7,8.2,432,11.2,2.3,246
437,7,8,736,1.5,4.9,1250
438,7.1,7.9,447,1.5,1,1040
439,6.8,7.4,237,4.5,0.2,1460
440,6.6,7.7,371,1.2,0.6,1080
441,6.9,8,1004,3.3,2.1,1390
442,7.1,7.9,1017,4,1.5,1350
443,7.2,7.9,286,2.4,0.1,157
444,7,8,415,2.9,0.3,191
445,7.2,7.9,613,1.9,0.2,1542
446,6.5,7.9,536,6,0.4,386
447,6.5,7.9,398,4,0.2,288
448,6.7,8,383,3.6,0.2,279
449,7.2,8.1,448,1.9,0.2,1425
450,7.2,7.9,313,2.7,0.1,152
451,7.2,7.9,290,2.9,0.1,133
452,7.1,8.1,956,2.2,2.5,544
453,6.9,8.2,999,3,3.1,620
454,6,7.8,166,3.5,0.2,734
455,6.4,8,219,3.3,0.3,291
456,5.5,13.7,223,1,0.1,2946
457,5.8,7.7,245,4.2,0.2,1542
458,6,7.8,226,3.3,0.2,302
459,6.5,8,154,2,0.2,130
460,5.5,7.4,185,1,0.1,2064
464,5.4,8.2,1062,2.1,2.6,67
465,6.9,8,838,0.9,0.6,1450
466,6.6,8.3,905,0.7,0.5,1400
467,6.9,8.3,596,2.6,0.3,1425
468,6.8,8.4,575,2.6,0.4,1483
469,4.8,7.9,1868,5.6,10.3,181
470,6.8,7.8,648,3.6,5,554
471,7,8.1,734,1.3,0.9,1460
472,7.3,7.2,46,1.2,1.23,413
473,7.1,6.7,48,1.4,0.26,12640
474,7.4,6.9,80,0.8,0,329
475,4.1,6.7,141,2,1,7894
476,2.7,6.4,137,2.2,0.77,4719
477,5.9,6.6,110,2.7,1,12638
478,1.3,6.6,350,2.9,0,32714
479,4.9,6.5,148,2.8,1.05,4218
481,6.5,8.6,649,21.8,4,2487
482,7.03,8.1,320,29.5,3.23,12400
