station_code,tempurature,dis_oxy,ph,conduct,bod,nit,coli,total_coli,potable
384,28.3,2.2,6.5,322,4.7,1.2,11210,14920,0
385,30.1,5.2,7.1,192,2.6,0.3,5073,8925,0
386,30.3,5.6,7.5,282,1.8,0.1,3205,5082,0
639,28.5,6.6,7,70,1.4,0.1,550,822,1
387,30.5,5.5,7.4,275,1.5,0.1,4698,8625,0
388,29.1,7.3,6.7,55,1.4,0.1,2638,4003,1
389,30.1,6.5,7.5,415,2,0.1,864,1538,1
390,29.2,7.2,6.3,100,1.5,0.1,7942,13575,0
393,26.3,6.6,7.9,1610,4.7,0.4,2,107,0
394,29.1,5.8,8.2,498,1.3,2,13,102,1
395,29.6,5.2,8.2,555,1.6,2.9,19,158,1
396,28.5,6.3,8.4,451,0.8,0.9,9,90,1
397,28.3,6.6,8.4,427,1,1,9,82,1
398,27.9,7,7.8,543,2.3,1.3,786,1400,1
401,26.1,5.1,8.1,369,11.3,1.1,140,220,0
402,24.9,6,8.2,403,8.9,1,90,130,0
403,23.9,6.2,8.2,458,8.9,2.2,110,140,0
404,23.4,5.1,8.2,577,10.7,2.3,110,140,0
405,24.4,5.4,8.1,678,10.6,2.7,50,80,0
406,23.7,5.7,8.2,498,8.9,2.1,40,70,0
407,22.7,7.4,7.4,450,2.2,0.4,39,67,1
408,21.4,7.3,8,386,2.3,1,15,95,1
409,23,7.7,8.1,292,1.5,4.8,0,36,1
410,33.3,4.8,8.3,482,10.8,6,170,277,0
411,28.1,5.9,8.1,341,9.1,1.2,82,132,0
412,27.3,5.3,8.2,273,9.6,1.7,98,180,0
413,25.1,6.2,8.2,393,9.1,2.4,110,170,0
414,24.3,5.3,8.2,388,10.6,1.2,140,240,0
415,24.1,5.7,8.2,366,8.6,0.9,170,280,0
416,24.1,5.5,8.2,607,10.4,2.9,114,193,0
417,23.7,7.4,7.7,403,2.1,0.3,39,127,1
418,33.8,4.8,8.2,477,10.5,6.7,131,221,0
419,24.4,5.5,8.2,534,10.1,2.7,103,157,0
420,24.9,5.1,8.2,523,11.1,2.7,140,222,0
421,26.3,4.7,8.4,940,15.1,11.5,183,273,0
422,23.2,4.2,8.4,685,13,8.4,363,420,0
423,31.6,5.1,8.3,435,9.7,2.5,152,231,0
