station_code;region;tempurature;dis_oxy;ph;conduct;bod;nit;coli;total_coli;potable
30;ANDHRA PRADESH;26.6;5.8;6.9;290;1.2;2.4;48;628;1
32;ANDHRA PRADESH;26.6;6.1;7.4;480;1.3;1.98;3;432;1
33;ANDHRA PRADESH;26.8;5.9;7;315;1.2;1.29;23;1100;1
44;UTTAR PRADESH;23;9;7.4;242;2.5;0.4;664;1268;1
45;UTTAR PRADESH;23;8;7.4;310;2.7;0.1;4000;630;1
46;UTTAR PRADESH;22;8.2;7.5;293;2.6;0.1;370;610;1
47;UTTAR PRADESH;23;7.8;7.4;320;3.1;0.1;410;630;0
48;UTTAR PRADESH;23;7.3;7.5;277;1.4;0;400;610;1
49;UTTAR PRADESH;26.9;7.9;7.9;288;2.9;0.2;2200;4467;1
50;UTTAR PRADESH;26.9;7.3;7.9;276;3.2;0.3;2978;5078;0
51;UTTAR PRADESH;27;7.9;8.2;290;3;0.2;2333;4256;0
52;UTTAR PRADESH;27;7.5;8.2;307;3.4;0.2;2600;4856;0
53;UTTAR PRADESH;27;6.3;7.7;430;5.5;0.3;15889;54333;0
54;UTTAR PRADESH;22.1;8;7.8;213;3.7;0.8;5517;8250;0
55;UTTAR PRADESH;22.1;8.2;7.8;209;3.6;0.8;5158;7967;0
56;UTTAR PRADESH;24.4;8.7;8.3;385;3.6;1.7;17283;29500;0
57;UTTAR PRADESH;24.5;8.4;8.3;382;3.9;1.8;18333;31833;0
58;UTTAR PRADESH;24.4;8.5;8.3;404;4.2;2;19500;32417;0
59;UTTAR PRADESH;22.4;8.4;7.7;290;2.5;0.4;1567;3078;1
60;UTTAR PRADESH;23.8;8.4;7.6;299;2.6;0.5;2146;6518;0
61;UTTAR PRADESH;22.5;8.3;8.2;338;2.9;0;2617;3950;1
62;UTTAR PRADESH;22.5;7.8;8.5;385;4.5;0;31167;47333;0
63;UTTAR PRADESH;22.7;7.7;8.5;369;3.9;0;17500;25667;0
64;UTTAR PRADESH;17;8.6;8;290;1.8;0;70;125;1
65;BIHAR;24.5;8.4;8.1;371;2.5;0;1190;3100;1
66;BIHAR;24.9;8.1;8.1;376;2.7;0;3183;9350;0
67;BIHAR;24.5;8.1;8.1;376;2.3;0;1600;3436;1
68;BIHAR;22.3;8.2;8.1;270;2.2;0;660;2033;1
69;BIHAR;23.8;8.3;8.2;311;2.5;0;1483;3967;1
70;BIHAR;24.7;7.8;7.9;402;2.8;0;6527;19091;0
71;BIHAR;24.9;7.9;8;402;2.7;0;3782;11564;0
72;BIHAR;24.7;7.3;7.7;452;2.5;0;1382;4573;1
73;BIHAR;24.4;8.1;8;386;2.3;0;1846;4982;1
74;BIHAR;24.1;7.8;7.9;277;2.3;0;1251;2770;1
75;BIHAR;24;7.7;7.8;295;2.6;0;2792;9430;0
76;BIHAR;23.9;7.6;7.8;268;2.4;0;1622;4411;1
77;BIHAR;24;7.7;7.8;280;2.5;0;1560;3722;1
78;BIHAR;24.4;7.7;7.8;276;2.6;0;2933;9044;0
79;BIHAR;23.4;7.8;7.9;265;2.7;0;2678;8511;0
80;BIHAR;24.5;8.2;8.1;352;2.5;0;1705;4683;1
81;BIHAR;24.1;8.1;8.1;375;2.4;0;1198;2855;1
82;BIHAR;23.4;7.8;7.9;260;2.2;0;1106;2529;1
83;BIHAR;23.8;7.8;7.9;267;2.3;0;998;2478;1
84;BIHAR;23.9;7.8;7.9;270;2.3;0;1220;2844;1
85;BIHAR;23.9;7.7;7.9;262;2.4;0;1290;3020;1
86;BIHAR;24.5;8;8;377;2.4;0;1846;5073;0
87;BIHAR;22.5;7.7;7.9;292;2.3;0;1048;2833;1
88;WEST BENGAL;26.5;7.4;7.9;304;4.2;0.8;166358;287833;0
89;WEST BENGAL;27.4;7.4;7.9;353;3.3;0.7;143275;474917;0
90;WEST BENGAL;28.3;6.9;8;312;2.8;0.8;34392;61283;0
91;WEST BENGAL;27;6.7;7.8;315;3.4;0.9;106417;171417;0
92;WEST BENGAL;27.3;6;7.9;323;3.1;0.7;153917;335000;0
93;WEST BENGAL;26.5;6.7;8;319;4.2;0.7;285833;586250;0
94;WEST BENGAL;26.5;6.3;8;314;3.6;0.7;122417;286083;0
95;WEST BENGAL;26.4;6.1;8.1;322;3.2;0.7;310417;542917;0
96;WEST BENGAL;27.1;6.3;8.1;368;3.4;0.6;31417;78083;0
97;WEST BENGAL;26.4;6.9;8;1900;3.7;0.8;41750;88917;0
98;ASSAM;22.3;7.2;7.1;216;1.5;1.4;146;5525;0
99;ASSAM;21.8;7.7;7.2;256;1.4;1.5;2128;45100;0
100;ASSAM;25.1;6.9;7;273;1.5;2.5;585;26322;0
101;ASSAM;24.3;7.5;7;298;1.3;1.7;12418;93005;0
102;ASSAM;25.4;7.9;7.2;236;1.4;2.3;5449;134042;0
103;ASSAM;27.7;6;7.3;295;1.1;1.9;444;8382;0
104;ASSAM;27;8.1;7.6;210;0.9;1.2;3388;123400;0
105;ASSAM;25.8;7.3;7.1;168;1.6;0.4;1653;61303;0
106;ASSAM;27.3;7.1;7.2;289;1.6;1.4;1208;8725;0
107;ASSAM;28.2;5.1;7;253;1.5;1.4;2990;180228;0
108;MAHARASHTRA;23.1;6.8;8.1;160;3.1;2.9;15;387;0
110;MAHARASHTRA;23.8;6;8.2;262;5.1;1.8;149;1357;0
111;MAHARASHTRA;25;6.7;7.6;441;2.9;1.5;2;80;1
113;MAHARASHTRA;24;7;7.5;400;2.8;1.2;4;110;1
114;MAHARASHTRA;20.8;6.1;8.4;551;5.6;2.3;183;1377;0
115;MAHARASHTRA;22;6.2;8.3;458;4.6;2.3;191;1481;0
116;MAHARASHTRA;22.7;6.1;8.2;413;5.5;1.8;171;1257;0
117;KARNaNTAKA;29;7.5;8;685;2.1;2.3;780;1390;1
118;KARNaNTAKA;28;7.5;8;808;1.8;2.1;890;1460;1
119;KARNaNTAKA;29.3;5.9;8.3;521;1.5;0.4;518;1110;1
120;KARNaNTAKA;29.4;7.2;8.3;916;1.9;0.2;792;1483;1
121;KARNaNTAKA;29.5;7.1;8.2;718;1.9;0.2;538;1100;1
122;KARNaNTAKA;29.2;6.2;8.3;513;1.4;0.5;678;1250;1
124;ANDHRA PRADESH;26;6.7;8.1;791;2.6;2;28;611;1
126;ANDHRA PRADESH;28.4;5.7;8.7;1072;1.6;1.2;11;122;1
127;ANDHRA PRADESH;24.9;6.8;7.9;726;0.9;0.6;2;1875;1
128;ANDHRA PRADESH;27.6;7;7.8;669;0.6;0.4;2;1613;1
129;ANDHRA PRADESH;25.8;7.2;8;669;0.7;0.7;2;1750;1
130;ANDHRA PRADESH;28.4;6.8;8.2;818;2.9;2;36;860;1
131;ANDHRA PRADESH;26;5.5;7.6;14804;0.7;0.7;2;1450;1
134;HIMACHAL PRADESH;22.3;7.7;7.5;465;1.2;0.2;9;19;1
135;HIMACHAL PRADESH;23.7;7.5;7.8;331;1.5;0.2;11;21;1
139;UTTAR PRADESH;25;4;7.7;196;8.3;0;43546;73727;0
140;UTTAR PRADESH;25;3.7;7.5;273;9.2;0;53546;117273;0
141;UTTAR PRADESH;25.3;4.5;7.5;281;7;0;34818;65000;0
142;UTTAR PRADESH;24.8;8.1;8.2;522;2.4;1.8;2875;5975;0
144;KARNaNTAKA;27.4;5.4;7.7;394;1;0.1;913;3600;1
145;KARNaNTAKA;27.7;5.8;7.7;298;1;0.1;1073;3533;1
147;KARNaNTAKA;26.7;6.3;8.2;573;2.9;0.6;716;2950;1
148;KARNaNTAKA;27;6.9;7.3;1560;7.3;9.1;56;788;0
149;KARNaNTAKA;29.4;6.6;7.7;1049;4.3;1.3;46;1012;0
150;KARNaNTAKA;26.1;4.4;7.8;467;3.8;0.5;1099;4550;0
151;KARNaNTAKA;26.2;5.7;7.9;370;2.2;0.4;430;1744;1
152;KERALA;26.9;6.7;7.7;78;0.4;0.8;58;96;1
153;KARNaNTAKA;25.3;7.2;7.5;219;1.1;0.3;353;1478;1
154;KARNaNTAKA;25.8;7.2;7.9;299;1.4;0.3;310;1357;1
155;KARNaNTAKA;25.7;7.2;7.9;266;1.3;0.3;308;1345;1
156;KARNaNTAKA;25.7;5.5;7.7;282;2.3;0.3;647;2717;1
157;KERALA;24.7;7.4;7.7;138;0.7;0.2;197;408;1
158;TAMILNaNDU;24.4;8.1;7.7;108;0.7;0.3;11667;37848;0
159;TAMILNaNDU;24.6;7.5;7.7;207;1.1;0.3;6613;20942;0
160;TAMILNaNDU;26.8;7.2;7.9;161;1.9;0.2;15109;32509;0
161;TAMILNaNDU;27.3;6.3;8.1;555;1.5;0.4;15578;35738;0
162;TAMILNaNDU;27.4;7.2;7.9;304;1.8;0.3;18158;42583;0
163;TAMILNaNDU;26.8;5.9;8.1;442;0.9;0.2;12432;24552;0
164;TAMILNaNDU;27.2;6.4;8.1;481;0.9;0.2;22473;44153;0
165;HIMACHAL PRADESH;13.2;8.9;7.1;133;0.3;0.3;5;9;1
166;HIMACHAL PRADESH;17.2;7.9;7.5;295;0.6;1.5;6;22;1
167;HIMACHAL PRADESH;23.3;7.7;7.7;302;1.1;0.3;11;20;1
168;HIMACHAL PRADESH;23.9;7.5;7.7;348;1.4;0.3;9;20;1
169;HIMACHAL PRADESH;17.4;7.9;7.3;242;0.7;1.5;5;17;1
170;HIMACHAL PRADESH;21.9;8.1;7.6;508;1.1;0.4;8;17;1
171;HIMACHAL PRADESH;22.8;7.9;7.6;467;1.4;0.3;8;17;1
172;HIMACHAL PRADESH;10.5;9.3;6.9;82;0.2;0.3;4;8;1
173;HIMACHAL PRADESH;11.2;9.3;6.9;86;0.3;0.4;2;8;1
174;HIMACHAL PRADESH;12.6;9;7;163;0.3;0.3;3;9;1
176;UTTAR PRADESH;24.3;1.1;7.4;1499;75.6;0.6;174167;250000;0
177;UTTAR PRADESH;20.1;0.8;7.4;586;24;0;5692;8150;0
178;MADHYA PRADESH;26.8;6.4;7.6;576;2.8;2;20;211;1
181;UTTAR PRADESH;27.5;6.7;8.5;218;3;0;3150;13310;0
182;UTTAR PRADESH;24;7.1;8.1;386;3.2;0;3580;15300;0
185;RAJASTHAN;26.2;5.6;7.8;317;0.8;0.6;4;5;1
187;RAJASTHAN;27.8;6;7.9;301;0.8;0.4;4;5;1
188;RAJASTHAN;26.6;5.9;8.4;546;2;0.6;13;642;1
189;RAJASTHAN;24.7;5.3;8.2;608;1.3;0.7;4;14;1
193;RAJASTHAN;25.8;5.2;8.2;556;1;0.6;4;10;1
195;MADHYA PRADESH;28;0;7.3;1507;40;45.5;41;1600;0
199;RAJASTHAN;25.6;5.4;8;489;0.9;0.6;4;7;1
200;RAJASTHAN;26.1;5.2;8.3;587;0.9;0.5;4;6;1
202;MADHYA PRADESH;26.3;5.4;7.6;607;5.2;3.3;48;633;0
206;RAJASTHAN;23.9;6.2;7.7;404;1.2;0.5;4;6;1
208;RAJASTHAN;23.2;2.4;8.2;1596;7.3;0.9;13;883;0
210;RAJASTHAN;25.9;5.6;8;265;0.9;0.5;4;6;1
211;WEST BENGAL;20.8;7.5;7.4;86;2;0.5;2833;6700;0
212;ASSAM;24.8;6.5;7.3;195;1.7;0.8;1258;1530;1
213;ASSAM;25.7;7.1;7.1;287;1.3;1.4;423;2320;1
214;ASSAM;24.3;8.1;6.7;58;1.3;0.4;318;4598;1
215;ASSAM;24;7.7;6.6;177;1.3;1.6;875;29558;0
216;ASSAM;25;7.7;6.9;157;1.2;1.3;465;11818;0
217;ASSAM;25.5;7.3;6.5;138;1.7;0.6;175;615;1
218;ASSAM;26.9;5.8;7.1;220;1.3;1.6;228;1133;1
219;ASSAM;29;5.3;6.8;132;2.3;0.8;1280;62780;0
220;ASSAM;17.5;6.2;6.8;138;1.6;1.3;1255;2975;1
221;ASSAM;15.1;6.3;6.8;136;1;1.4;6048;31975;0
222;ASSAM;13.3;4.9;6.8;177;1.7;1.8;638;6740;0
223;WEST BENGAL;27.3;6.7;7.4;166;3;0.3;169867;344500;0
224;WEST BENGAL;28.8;7.6;7.6;141;2.4;0.3;4708;15667;0
225;ASSAM;23;7.7;7;355;0.8;1.4;1530;5628;0
233;UTTAR PRADESH;26.9;6.9;8;391;4.1;0.3;2800;5256;0
235;UTTAR PRADESH;26.9;6.2;7.9;316;5.1;0.3;2956;5056;0
236;UTTAR PRADESH;22.9;8;8;305;2.6;0;4942;5758;0
237;UTTAR PRADESH;23.3;3.3;8.4;508;36.5;0;137417;224167;0
238;UTTAR PRADESH;26.8;7.3;13.2;237;3.7;0.1;2164;4427;0
239;UTTAR PRADESH;23;7.8;8.2;298;2.9;0;6300;10192;0
240;UTTAR PRADESH;25.8;8.7;8.1;392;2.7;1.3;631;1879;1
241;UTTAR PRADESH;25.9;8;8;454;3.3;1.6;2120;3900;0
242;UTTAR PRADESH;25;2.6;7.6;568;9.5;4;82800;118300;0
243;UTTAR PRADESH;22.7;7.7;8.2;323;3.3;0;11083;16333;0
244;UTTAR PRADESH;22.9;7.8;8.1;306;3;0;6917;11283;0
245;UTTAR PRADESH;20.8;7.5;8;478;3.4;0.4;593;1175;0
246;UTTAR PRADESH;21;7.1;8.1;438;2.8;0.3;232;494;1
247;UTTAR PRADESH;20.3;9.2;7.7;187;2.7;0.7;4525;7258;0
248;UTTAR PRADESH;23;7.7;8.1;488;2.9;0.3;203;455;1
249;UTTAR PRADESH;21.6;7.5;8.1;529;3.4;0.4;583;1177;0
250;BIHAR;23.2;8.6;8.2;260;2.2;0;1115;2433;1
251;UTTAR PRADESH;24.5;7.6;8.1;286;2.4;0.6;1287;2367;1
252;UTTAR PRADESH;24.5;7.9;8.1;281;2.3;0.6;1525;2633;1
253;BIHAR;22.6;8.1;8.1;232;1.9;0;697;1533;1
254;BIHAR;19;8.2;7.6;250;2.1;0;710;1567;1
255;BIHAR;23;8.3;8;252;2.2;0;483;1580;1
256;BIHAR;23.2;7.7;7.8;298;2.2;0;848;2167;1
257;BIHAR;22.3;8.6;8.1;238;2;0;581;1557;1
258;BIHAR;23;8.4;8.1;247;1.8;0;527;1305;1
259;BIHAR;23.2;7.9;8;302;2.1;0;897;2317;1
260;BIHAR;23.1;16.3;8.1;269;2;0;769;1655;1
261;BIHAR;23.8;8;7.4;346;2;0;532;1180;1
262;BIHAR;22.4;6.5;7.5;319;3.5;0;1900;5025;0
263;BIHAR;23.3;4.2;7.3;418;7.1;0;2460;7640;0
264;BIHAR;25.6;4.3;7.1;450;30;0;1690;6333;0
265;BIHAR;23.3;8;8;290;2.4;0;1350;3250;1
266;BIHAR;24.1;4.4;7.2;370;4.7;0;1700;4450;0
267;BIHAR;22.1;8.1;8.1;228;1.8;0;721;1257;1
268;BIHAR;18.5;8.6;8.1;338;2.1;0;500;950;1
269;BIHAR;23;7.9;7.8;319;2.2;0;740;1840;1
270;BIHAR;18;8.8;8.2;340;2;0;500;900;1
271;BIHAR;22.3;5.6;7.4;330;3.5;0;2000;5560;0
272;BIHAR;24.8;7;7.4;184;2;0;670;1989;1
273;BIHAR;23.5;7.1;7.6;211;2;0;900;2175;1
274;BIHAR;24.2;7.1;7.4;215;2.1;0;738;1880;1
275;BIHAR;23.7;7.8;7.8;326;2.4;0;1500;2983;1
276;BIHAR;20.9;5.4;7.5;404;3.3;0;1900;5883;0
277;BIHAR;23.7;7.7;7.8;333;2.3;0;1200;2650;1
278;BIHAR;25.2;4.5;7.2;289;5.3;0;1182;3033;0
279;BIHAR;18.5;7.3;7.8;288;2.8;0;1400;4000;1
280;BIHAR;23.3;7;7.4;251;2.5;0;1343;3157;1
281;BIHAR;25.6;2.1;6.9;461;8.6;0;3867;14367;0
282;BIHAR;23.5;7.2;7.6;299;2.2;0;1045;2750;1
283;BIHAR;27.8;2.1;7.2;457;11;0;5000;16000;0
284;BIHAR;24.5;8;7.9;276;1.7;0;743;2333;1
285;BIHAR;22.6;8.4;7.9;306;2;0;596;1400;1
287;BIHAR;22.3;7.9;7.8;300;2.2;0;827;2467;1
288;BIHAR;21;8;7.9;289;2.1;0;600;1650;1
289;BIHAR;27.8;2.1;7.3;432;9.7;0;2850;12550;0
290;PUNJAB;22.7;5.8;7.2;640;6;4.3;1450;4073;0
291;PUNJAB;19;4.8;7.6;1090;22;3.6;30500;52500;0
292;PUNJAB;23;5.5;7.3;705;10;5;2020;5433;0
293;PUNJAB;24;5.1;7.4;1375;23.7;5.9;27333;50333;0
294;PUNJAB;24.7;5.5;7.4;745;10;6.1;12167;29333;0
295;PUNJAB;25;5;7.6;975;16.3;6.1;11167;21667;0
296;PUNJAB;22;4.9;7.7;1385;27.5;7.7;42500;72000;0
297;PUNJAB;24.3;5;7.3;1067;19.3;6.2;21467;39533;0
298;PUNJAB;23.3;5.3;7.2;970;13.3;5.9;3167;7133;0
299;PUNJAB;19.5;4.9;7.7;1418;21;4.2;28000;49500;0
300;PUNJAB;21.5;4.1;7.5;1015;23;6.1;35000;57500;0
301;PUNJAB;20;4.8;7.4;854;17;4.7;20500;38000;0
302;RAJASTHAN;32.6;4;6.8;370;3;0.8;4;9;0
303;HIMACHAL PRADESH;23.6;7.8;7.8;376;1.3;0.4;9;17;1
304;HIMACHAL PRADESH;23.9;7.7;7.7;354;1.3;0.3;12;22;1
305;HIMACHAL PRADESH;24.5;7.6;7.9;344;1.6;0.4;12;22;1
306;HIMACHAL PRADESH;18.1;4.4;7.1;694;41;1.2;92;224;0
307;RAJASTHAN;25.1;5.9;8;401;0.9;0.7;4;15;1
308;RAJASTHAN;22.3;6;7.2;106;0.8;0.4;4;15;1
309;RAJASTHAN;23.7;5.6;7.9;326;1.1;0.8;4;4;1
310;RAJASTHAN;23.9;6.2;8.1;592;1;0.7;4;6;1
311;MAHARASHTRA;25.1;6.6;7.8;95;4.9;0.2;16;36;0
312;MAHARASHTRA;29.6;6.9;7.9;99;5;0.4;15;34;0
313;MAHARASHTRA;27.4;6.8;7.7;85;5.2;0.3;11;23;0
314;MAHARASHTRA;27.8;6.7;7.8;80;4.9;0.3;12;29;0
315;MAHARASHTRA;30.6;5.1;7.3;3937;10.3;1.8;31;83;0
316;MAHARASHTRA;25;5.6;7.9;468;3.6;1.9;66;164;0
317;MAHARASHTRA;25;6.4;7.6;541;5.7;0.6;23;45;0
318;MAHARASHTRA;25;5.5;7.4;6166;7.7;1.1;44;67;0
319;MAHARASHTRA;25.3;5.3;7.7;24062;9.9;1.2;156;304;0
320;MAHARASHTRA;25.1;6.7;7.6;83;4.8;0.2;28;76;0
321;MAHARASHTRA;26.1;3.6;7.4;4424;31.3;2.2;276;474;0
323;MAHARASHTRA;27.4;5.9;7.4;268;6.4;0.4;37;68;0
324;MAHARASHTRA;27.1;5.4;7.5;2413;7.4;1.5;59;116;0
325;MAHARASHTRA;27.2;5.8;7.3;384;5.4;0.6;37;78;0
326;MAHARASHTRA;27.3;5.9;7.4;269;5.1;1.2;34;60;0
327;MAHARASHTRA;27;6;7.3;269;8.5;0.4;32;58;0
328;MAHARASHTRA;27.2;6.1;7.3;196;6.1;0.5;30;63;0
329;MAHARASHTRA;27;5.9;7.4;269;6.4;0.4;19;47;0
330;MAHARASHTRA;22.6;6.3;7.8;223;4.6;0.9;15;32;0
336;MAHARASHTRA;27.1;6.8;7.9;5390;4.9;0.8;15;28;0
337;MAHARASHTRA;27.6;6.6;8.1;161;4.6;0.3;16;32;0
338;MAHARASHTRA;27.3;6.7;8;138;5;0.3;14;33;0
339;MAHARASHTRA;27.8;6.7;7.8;81;4.9;0.3;14;35;0
340;MAHARASHTRA;28;5.9;7.7;194;5.5;0.6;22;51;0
341;MAHARASHTRA;28.1;6.3;7.6;186;4.6;0.6;13;31;0
342;MAHARASHTRA;28.6;6.6;7.6;207;4.7;0.7;12;31;0
343;MAHARASHTRA;26.9;6.8;7.7;85;5;0.4;15;34;0
351;MAHARASHTRA;26.3;3.7;7.9;453;7.5;2.2;202;1468;0
352;MAHARASHTRA;24.4;5.8;8.1;523;5.7;2.1;164;1529;0
353;MAHARASHTRA;28.5;5.9;7.9;524;11.1;3;52;609;0
354;MAHARASHTRA;27.1;3.3;7.7;424;13.7;3.1;386;1800;0
355;MAHARASHTRA;27.3;5.3;8;720;7.2;2.9;209;1700;0
356;MAHARASHTRA;27.5;5.4;8;755;7.2;3.2;187;1675;0
357;MAHARASHTRA;29.5;6.4;8.2;991;5.3;2;251;1425;0
358;MAHARASHTRA;29.1;6.2;8.2;1010;5.1;2.3;164;1529;0
359;KARNaNTAKA;27.3;6.8;8.4;949;3.8;0.3;1483;1600;0
360;KARNaNTAKA;28.5;6.7;14.7;917;3;0.2;992;1542;0
361;KARNaNTAKA;29.6;7.6;8.1;834;2.1;0.2;1183;1600;1
362;KARNaNTAKA;29.2;6.4;8.4;874;3;0.3;1033;1483;0
363;GOA;29.8;5.7;7.2;189;2;0.2;4953;8391;0
364;GOA;29.5;6.3;6.9;179;1.7;0.1;3243;5330;0
365;GOA;29.7;5.8;6.9;64;3.8;0.5;5382;8443;0
366;GOA;29.5;5.8;7.3;83;1.9;0.4;3428;5500;0
367;GOA;30;5.5;7.4;81;1.5;0.1;2853;4049;1
368;GOA;29.2;6.1;6.7;308;1.4;0.3;3355;5672;0
369;GOA;29.6;6.4;6.7;414;1;0.2;6073;9423;0
370;GOA;30;6.4;7.6;305;2.2;0.1;3478;4990;1
371;GOA;30.1;6.3;7.6;77;2.3;0.1;2606;4301;1
372;GOA;27.8;7.1;7.1;176;1.2;0.1;4573;7817;0
373;GOA;27.9;6.7;6.4;93;1.4;0.1;2147;3433;1
374;GOA;29.3;7.4;6.8;121;1.7;0.4;11633;18125;0
375;GOA;29.2;6.9;7;620;1.1;0.1;3500;6300;0
376;GOA;30;6;7.5;72;1.6;0.2;4995;9517;0
377;GOA;29;7.3;7;247;1.5;0.2;1095;2453;1
378;GOA;29.1;7.3;7;188;1;0.1;1286;3048;1
379;GOA;28.7;7;6.9;224;1.2;0.3;3896;6742;0
380;GOA;28.7;7.3;6.7;144;1.5;0.1;1940;3052;1
381;GOA;29.5;5.3;6.8;319;1.8;0.3;6458;10250;0
382;GOA;29;6.3;6.4;79;1.6;1.4;7592;12842;0
383;GOA;29.4;5.4;7.6;39;1.4;0.1;3176;6367;0
384;GOA;28.3;2.2;6.5;322;4.7;1.2;11210;14920;0
385;GOA;30.1;5.2;7.1;192;2.6;0.3;5073;8925;0
386;GOA;30.3;5.6;7.5;282;1.8;0.1;3205;5082;0
639;KERALA;28.5;6.6;7;70;1.4;0.1;550;822;1
387;GOA;30.5;5.5;7.4;275;1.5;0.1;4698;8625;0
388;GOA;29.1;7.3;6.7;55;1.4;0.1;2638;4003;1
389;GOA;30.1;6.5;7.5;415;2;0.1;864;1538;1
390;GOA;29.2;7.2;6.3;100;1.5;0.1;7942;13575;0
393;MAHARASHTRA;26.3;6.6;7.9;1610;4.7;0.4;2;107;0
394;ANDHRA PRADESH;29.1;5.8;8.2;498;1.3;2;13;102;1
395;ANDHRA PRADESH;29.6;5.2;8.2;555;1.6;2.9;19;158;1
396;ANDHRA PRADESH;28.5;6.3;8.4;451;0.8;0.9;9;90;1
397;ANDHRA PRADESH;28.3;6.6;8.4;427;1;1;9;82;1
398;KARNaNTAKA;27.9;7;7.8;543;2.3;1.3;786;1400;1
401;MAHARASHTRA;26.1;5.1;8.1;369;11.3;1.1;140;220;0
402;MAHARASHTRA;24.9;6;8.2;403;8.9;1;90;130;0
403;MAHARASHTRA;23.9;6.2;8.2;458;8.9;2.2;110;140;0
404;MAHARASHTRA;23.4;5.1;8.2;577;10.7;2.3;110;140;0
405;MAHARASHTRA;24.4;5.4;8.1;678;10.6;2.7;50;80;0
406;MAHARASHTRA;23.7;5.7;8.2;498;8.9;2.1;40;70;0
407;MADHYA PRADESH;22.7;7.4;7.4;450;2.2;0.4;39;67;1
408;MADHYA PRADESH;21.4;7.3;8;386;2.3;1;15;95;1
409;MADHYA PRADESH;23;7.7;8.1;292;1.5;4.8;0;36;1
410;MAHARASHTRA;33.3;4.8;8.3;482;10.8;6;170;277;0
411;MAHARASHTRA;28.1;5.9;8.1;341;9.1;1.2;82;132;0
412;MAHARASHTRA;27.3;5.3;8.2;273;9.6;1.7;98;180;0
413;MAHARASHTRA;25.1;6.2;8.2;393;9.1;2.4;110;170;0
414;MAHARASHTRA;24.3;5.3;8.2;388;10.6;1.2;140;240;0
415;MAHARASHTRA;24.1;5.7;8.2;366;8.6;0.9;170;280;0
416;MAHARASHTRA;24.1;5.5;8.2;607;10.4;2.9;114;193;0
417;MADHYA PRADESH;23.7;7.4;7.7;403;2.1;0.3;39;127;1
418;MAHARASHTRA;33.8;4.8;8.2;477;10.5;6.7;131;221;0
419;MAHARASHTRA;24.4;5.5;8.2;534;10.1;2.7;103;157;0
420;MAHARASHTRA;24.9;5.1;8.2;523;11.1;2.7;140;222;0
421;MAHARASHTRA;26.3;4.7;8.4;940;15.1;11.5;183;273;0
422;MAHARASHTRA;23.2;4.2;8.4;685;13;8.4;363;420;0
423;MAHARASHTRA;31.6;5.1;8.3;435;9.7;2.5;152;231;0
424;ANDHRA PRADESH;21.6;6.9;7.5;469;0.8;0.5;2;1100;1
426;MAHARASHTRA;27.6;6.5;7.7;1127;5.7;0.3;3;108;0
427;MAHARASHTRA;22.1;5.2;7.9;306;4.5;2.2;47;136;0
428;MAHARASHTRA;21.6;4.7;7.9;262;3.4;1.2;33;106;0
429;MAHARASHTRA;21.9;5.5;8;247;3.7;1.1;39;104;0
430;MAHARASHTRA;22.7;5.4;8.1;244;3.6;1;44;117;0
