station_code,region,tempurature,dis_oxy,ph,conduct,bod,nit,coli,total_coli,grade
316,MAHARASHTRA,25,5.6,7.9,468,3.6,1.9,66,164,E
317,MAHARASHTRA,25,6.4,7.6,541,5.7,0.6,23,45,D
318,MAHARASHTRA,25,5.5,7.4,6166,7.7,1.1,44,67,D
319,MAHARASHTRA,25.3,5.3,7.7,24062,9.9,1.2,156,304,F
320,MAHARASHTRA,25.1,6.7,7.6,83,4.8,0.2,28,76,D
321,MAHARASHTRA,26.1,3.6,7.4,4424,31.3,2.2,276,474,F
323,MAHARASHTRA,27.4,5.9,7.4,268,6.4,0.4,37,68,D
324,MAHARASHTRA,27.1,5.4,7.5,2413,7.4,1.5,59,116,F
325,MAHARASHTRA,27.2,5.8,7.3,384,5.4,0.6,37,78,D
326,MAHARASHTRA,27.3,5.9,7.4,269,5.1,1.2,34,60,E
327,MAHARASHTRA,27,6,7.3,269,8.5,0.4,32,58,D
328,MAHARASHTRA,27.2,6.1,7.3,196,6.1,0.5,30,63,D
329,MAHARASHTRA,27,5.9,7.4,269,6.4,0.4,19,47,D
330,MAHARASHTRA,22.6,6.3,7.8,223,4.6,0.9,15,32,D
336,MAHARASHTRA,27.1,6.8,7.9,5390,4.9,0.8,15,28,D
337,MAHARASHTRA,27.6,6.6,8.1,161,4.6,0.3,16,32,D
338,MAHARASHTRA,27.3,6.7,8,138,5,0.3,14,33,D
339,MAHARASHTRA,27.8,6.7,7.8,81,4.9,0.3,14,35,D
340,MAHARASHTRA,28,5.9,7.7,194,5.5,0.6,22,51,D
341,MAHARASHTRA,28.1,6.3,7.6,186,4.6,0.6,13,31,D
342,MAHARASHTRA,28.6,6.6,7.6,207,4.7,0.7,12,31,D
343,MAHARASHTRA,26.9,6.8,7.7,85,5,0.4,15,34,D
351,MAHARASHTRA,26.3,3.7,7.9,453,7.5,2.2,202,1468,F
352,MAHARASHTRA,24.4,5.8,8.1,523,5.7,2.1,164,1529,F
353,MAHARASHTRA,28.5,5.9,7.9,524,11.1,3,52,609,F
354,MAHARASHTRA,27.1,3.3,7.7,424,13.7,3.1,386,1800,F
355,MAHARASHTRA,27.3,5.3,8,720,7.2,2.9,209,1700,F
356,MAHARASHTRA,27.5,5.4,8,755,7.2,3.2,187,1675,F
357,MAHARASHTRA,29.5,6.4,8.2,991,5.3,2,251,1425,F
