STATION CODE|LOCATIONS|STATE|TEMP|DO|pH|CONDUCTIVITY|BOD|NITRATE_N_NITRITE_N|FECAL_COLIFORM|TOTAL_COLIFORM
95|GANGA AT GARDEN REACH, WEST BENGAL|WEST BENGAL|26.4|6.1|8.1|322.0|3.2|0.7|310417.0|542917.0
96|GANGA AT ULUBERIA, WEST BENGAL|WEST BENGAL|27.1|6.3|8.1|368.0|3.4|0.6|31417.0|78083.0
97|GANGA AT DIAMOND HARBOUR, WEST BENGAL|WEST BENGAL|26.4|6.9|8.0|1900.0|3.7|0.8|41750.0|88917.0
98|BRAHAMPUTRA AT KHERGHAT (AFTER CONFL. WITH DIBANG & DIHANG),ASSAM|ASSAM|22.3|7.2|7.1|216.0|1.5|1.4|146.0|5525.0
99|BRAHAMPUTRA AT DIBRUGARH, ASSAM|ASSAM|21.8|7.7|7.2|256.0|1.4|1.5|2128.0|45100.0
100|BRAHAMPUTRA AT NIMATIGHAT, ASSAM|ASSAM|25.1|6.9|7.0|273.0|1.5|2.5|585.0|26322.0
101|BRAHMPUTRA RIVER AT DHENUKHAPAHAR, ASSAM|ASSAM|24.3|7.5|7.0|298.0|1.3|1.7|12418.0|93005.0
102|BRAHAMPUTRA AT PANDU, ASSAM|ASSAM|25.4|7.9|7.2|236.0|1.4|2.3|5449.0|134042.0
103|BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE, ASSAM|ASSAM|27.7|6.0|7.3|295.0|1.1|1.9|444.0|8382.0
104|BRAHMPUTRA RIVER NEAR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI, ASSAM|ASSAM|27.0|8.1|7.6|210.0|0.9|1.2|3388.0|123400.0
105|BRAHMAPUTRA RIVER AT CHANDRAPUR, GUWAHATI|ASSAM|25.8|7.3|7.1|168.0|1.6|0.4|1653.0|61303.0
106|BRAHMPUTRA RIVER AT SUALKUCHI, DIST. KAMRUP, ASSAM|ASSAM|27.3|7.1|7.2|289.0|1.6|1.4|1208.0|8725.0
107|BRAHMAPUTRA RIVER AT DHUBRI|ASSAM|28.2|5.1|7.0|253.0|1.5|1.4|2990.0|180228.0
108|KRISHNaN AT MAHABALESHWAR DHOM DAM NEAR KOINaN DAM,MAHARASHTRA|MAHARASHTRA|23.1|6.8|8.1|160.0|3.1|2.9|15.0|387.0
110|KRISHNaN AT KRISHNaN BRIDGE, KARAD, MAHARASHTRA|MAHARASHTRA|23.8|6.0|8.2|262.0|5.1|1.8|149.0|1357.0
