STATION CODE,STATE,District,Lat,Lng
603,Kerala,Pathanamthitta,9.2656,76.7853
604,Kerala,Kannur,11.8608,75.4140
605,Kerala,Kannur,11.8608,75.4140
606,Kerala,Pathanamthitta,9.2656,76.7853
607,Kerala,Palakkad,10.7925,76.5553
608,Kerala,Kozhikode,11.2591,75.7820
609,Kerala,Kozhikode,11.2591,75.7820
610,Kerala,Kozhikode,11.2591,75.7820
611,Kerala,Kozhikode,11.2591,75.7820
612,Kerala,Kozhikode,11.2591,75.7820
613,Kerala,Kasaragod,12.4997,74.9870
614,Kerala,Kasaragod,12.4997,74.9870
615,Kerala,Kozhikode,11.2591,75.7820
616,Kerala,Kollam,8.8800,76.6000
617,Kerala,Kollam,8.8800,76.6000
618,Kerala,Kozhikode,11.2591,75.7820
619,Kerala,Kozhikode,11.2591,75.7820
620,Kerala,Kasaragod,12.4997,74.9870
621,Kerala,Kasaragod,12.4997,74.9870
622,Kerala,Kollam,8.8800,76.6000
623,Kerala,Kozhikode,11.2591,75.7820
624,Kerala,Palakkad,10.7925,76.5553
625,Kerala,Kottayam,9.5800,76.5200
626,Kerala,Kottayam,9.5800,76.5200
627,Kerala,Thiruvananthapuram,8.4875,76.9525
628,Kerala,Thiruvananthapuram,8.4875,76.9525
629,Kerala,Thiruvananthapuram,8.4875,76.9525
630,Kerala,Palakkad,10.7925,76.5553
631,Kerala,Malappuram,11.0410,76.0830
632,Kerala,Malappuram,11.0410,76.0830
633,Kerala,Kannur,11.8608,75.4140
634,Kerala,Kannur,11.8608,75.4140
635,Kerala,Kozhikode,11.2591,75.7820
636,Kerala,Kozhikode,11.2591,75.7820
637,Kerala,Thiruvananthapuram,8.4875,76.9525
638,Kerala,Thiruvananthapuram,8.4875,76.9525
639,Kerala,Thiruvananthapuram,8.4875,76.9525
640,Kerala,Wayanad,11.6854,76.132
641,Kerala,Kasaragod,12.4997,74.9870
642,Kerala,Kottayam,9.5800,76.5200
643,Kerala,Kasaragod,12.4997,74.9870
644,Kerala,Kottayam,9.5800,76.5200
645,Kerala,Kasaragod,12.4997,74.9870
646,Kerala,Kasaragod,12.4997,74.9870
647,Kerala,Thiruvananthapuram,8.4875,76.9525
648,Kerala,Thiruvananthapuram,8.4875,76.9525
649,Kerala,Pathanamthitta,9.2656,76.7853
650,Kerala,Pathanamthitta,9.2656,76.7853
651,Kerala,Pathanamthitta,9.2656,76.7853
652,Kerala,Pathanamthitta,9.2656,76.7853
653,Kerala,Idukki,9.8500,76.9700
654,Kerala,Idukki,9.8500,76.9700
655,Kerala,Idukki,9.8500,76.9700
656,Kerala,Idukki,9.8500,76.9700
657,Kerala,Idukki,9.8500,76.9700
658,Kerala,Idukki,9.8500,76.9700
659,Kerala,Idukki,9.8500,76.9700
660,Kerala,Idukki,9.8500,76.9700
661,Kerala,Kannur,11.8608,75.4140
662,Kerala,Thrissur,10.5200,76.2100
663,Kerala,Palakkad,10.7925,76.5553
664,Kerala,Kasaragod,12.4997,74.9870
665,Kerala,Kasaragod,12.4997,74.9870
666,Kerala,Kannur,11.8608,75.4140
667,Kerala,Malappuram,11.0410,76.0830
668,Kerala,Kasaragod,12.4997,74.9870
669,Kerala,Kannur,11.8608,75.4140
670,Kerala,Kannur,11.8608,75.4140
671,Andhra Pradesh,Kurnool,15.8300,78.0500
672,Andhra Pradesh,Khammam,17.2500,80.1500
673,Andhra Pradesh,Khammam,17.2500,80.1500
674,Andhra Pradesh,Khammam,17.2500,80.1500
675,Karnataka,Uttara Kannada,14.6000,74.7000
676,Karnataka,Uttara Kannada,14.6000,74.7000
677,Karnataka,Uttara Kannada,14.6000,74.7000
678,Karnataka,Uttara Kannada,14.6000,74.7000
679,Odisha,Balasore,21.4916,86.9150
680,Odisha,Balasore,21.4916,86.9150
681,Odisha,Koraput,18.8132,82.7126
682,Odisha,Rayagada,19.1754,83.4109
683,Odisha,Rayagada,19.1754,83.4109
684,Odisha,Rayagada,19.1754,83.4109
685,Odisha,Ganjam,19.3800,85.0700
686,Odisha,Ganjam,19.3800,85.0700
687,Odisha,Rayagada,19.1754,83.4109
688,Odisha,Rayagada,19.1754,83.4109
694,Tamil Nadu,Tirupattur,12.5000,78.6000
695,Tamil Nadu,Tirunelveli,8.7288,77.7046
696,Tamil Nadu,Tirunelveli,8.7288,77.7046
697,Tamil Nadu,Tirunelveli,8.7288,77.7046
698,Tamil Nadu,Thoothukudi,8.8100,78.1400
699,Tamil Nadu,Tirunelveli,8.7288,77.7046
700,Tamil Nadu,Tirunelveli,8.7288,77.7046
701,Tamil Nadu,Thoothukudi,8.8100,78.1400
702,Tamil Nadu,Thoothukudi,8.8100,78.1400
703,Tamil Nadu,Tirunelveli,8.7288,77.7046
704,Tamil Nadu,Tirunelveli,8.7288,77.7046
705,Tamil Nadu,Tirunelveli,8.7288,77.7046
706,Tamil Nadu,Tirunelveli,8.7288,77.7046
707,Tamil Nadu,Salem,11.6521,78.1580
733,Meghalaya,South Garo Hills district,25.3301,90.5636
734,Meghalaya,South Garo Hills district,25.3301,90.5636
735,Meghalaya,East Garo Hills district,25.5672,90.5258
736,Meghalaya,East Garo Hills district,25.5672,90.5258
737,Meghalaya,East Jainta hills,25.3101,92.5
738,Meghalaya,West Khasi Hills district,25.5625,91.2891
739,Meghalaya,West Khasi Hills district,25.5625,91.2891
740,Meghalaya,West Khasi Hills district,25.5625,91.2891
741,Meghalaya,East Jainta hills,25.3101,92.5
742,Meghalaya,East Jainta hills,25.3101,92.5
743,Meghalaya,East Garo Hills district,25.5672,90.5258
744,Meghalaya,East Garo Hills district,25.5672,90.5258
745,Meghalaya,East Jainta hills,25.3101,92.5
746,Meghalaya,East Jainta hills,25.3101,92.5
747,Meghalaya,East Jainta hills,25.3101,92.5
748,Meghalaya,East Jainta hills,25.3101,92.5
749,Meghalaya,West Khasi Hills district,25.5625,91.2891
750,Meghalaya,West Khasi Hills district,25.5625,91.2891
751,Meghalaya,West Khasi Hills district,25.5625,91.2891
752,Meghalaya,West Khasi Hills district,25.5625,91.2891
753,Meghalaya,East Khasi Hills district,25.3682,91.7539
