STATION CODE,DO,pH,CONDUCTIVITY,BOD,NITRATE_N_NITRITE_N,TOTAL_COLIFORM
1170.0,7.2,8.3,916.0,1.9,0.2,1483.0
1028.0,7.1,8.2,718.0,1.9,0.2,1100.0
2781.0,6.2,8.3,513.0,1.4,0.5,1250.0
1175.0,6.7,8.1,791.0,2.6,2.0,611.0
1465.0,5.7,8.7,1072.0,1.6,1.2,122.0
1786.0,6.8,7.9,726.0,0.9,0.6,1875.0
1787.0,7.0,7.8,669.0,0.6,0.4,1613.0
25.0,7.2,8.0,669.0,0.7,0.7,1750.0
3083.0,6.8,8.2,818.0,2.9,2.0,860.0
1782.0,5.5,7.6,14804.0,0.7,0.7,1450.0
1553.0,7.7,7.5,465.0,1.2,0.2,19.0
1554.0,7.5,7.8,331.0,1.5,0.2,21.0
2495.0,4.0,7.7,196.0,8.3,0.0,73727.0
2494.0,3.7,7.5,273.0,9.2,0.0,117273.0
2493.0,4.5,7.5,281.0,7.0,0.0,65000.0
1069.0,8.1,8.2,522.0,2.4,1.8,5975.0
1893.0,5.4,7.7,394.0,1.0,0.1,3600.0
1199.0,5.8,7.7,298.0,1.0,0.1,3533.0
1166.0,6.3,8.2,573.0,2.9,0.6,2950.0
1165.0,6.9,7.3,1560.0,7.3,9.1,788.0
2778.0,6.6,7.7,1049.0,4.3,1.3,1012.0
1196.0,4.4,7.8,467.0,3.8,0.5,4550.0
2772.0,5.7,7.9,370.0,2.2,0.4,1744.0
1207.0,6.7,7.7,78.0,0.4,0.8,96.0
1197.0,7.2,7.5,219.0,1.1,0.3,1478.0
41.0,7.2,7.9,299.0,1.4,0.3,1357.0
1445.0,7.2,7.9,266.0,1.3,0.3,1345.0
2775.0,5.5,7.7,282.0,2.3,0.3,2717.0
1208.0,7.4,7.7,138.0,0.7,0.2,408.0
1201.0,8.1,7.7,108.0,0.7,0.3,37848.0
1204.0,7.5,7.7,207.0,1.1,0.3,20942.0
1321.0,7.2,7.9,161.0,1.9,0.2,32509.0
1205.0,6.3,8.1,555.0,1.5,0.4,35738.0
3019.0,7.2,7.9,304.0,1.8,0.3,42583.0
3020.0,5.9,8.1,442.0,0.9,0.2,24552.0
3021.0,6.4,8.1,481.0,0.9,0.2,44153.0
1510.0,8.9,7.1,133.0,0.3,0.3,9.0
2620.0,7.9,7.5,295.0,0.6,1.5,22.0
2626.0,7.7,7.7,302.0,1.1,0.3,20.0
2627.0,7.5,7.7,348.0,1.4,0.3,20.0
2621.0,7.9,7.3,242.0,0.7,1.5,17.0
2622.0,8.1,7.6,508.0,1.1,0.4,17.0
2623.0,7.9,7.6,467.0,1.4,0.3,17.0
2617.0,9.3,6.9,82.0,0.2,0.3,8.0
2618.0,9.3,6.9,86.0,0.3,0.4,8.0
2619.0,9.0,7.0,163.0,0.3,0.3,9.0
1358.0,1.1,7.4,1499.0,75.6,0.6,250000.0
1357.0,0.8,7.4,586.0,24.0,0.0,8150.0
1143.0,6.4,7.6,576.0,2.8,2.0,211.0
1735.0,6.7,8.5,218.0,3.0,0.0,13310.0
1356.0,7.1,8.1,386.0,3.2,0.0,15300.0
2955.0,5.6,7.8,317.0,0.8,0.6,5.0
1288.0,6.0,7.9,301.0,0.8,0.4,5.0
1289.0,5.9,8.4,546.0,2.0,0.6,642.0
1413.0,5.3,8.2,608.0,1.3,0.7,14.0
2954.0,5.2,8.2,556.0,1.0,0.6,10.0
1367.0,0.0,7.3,1507.0,40.0,45.5,1600.0
2953.0,5.4,8.0,489.0,0.9,0.6,7.0
2956.0,5.2,8.3,587.0,0.9,0.5,6.0
2117.0,5.4,7.6,607.0,5.2,3.3,633.0
2950.0,6.2,7.7,404.0,1.2,0.5,6.0
2952.0,2.4,8.2,1596.0,7.3,0.9,883.0
2946.0,5.6,8.0,265.0,0.9,0.5,6.0
1947.0,7.5,7.4,86.0,2.0,0.5,6700.0
2229.0,6.5,7.3,195.0,1.7,0.8,1530.0
2231.0,7.1,7.1,287.0,1.3,1.4,2320.0
2232.0,8.1,6.7,58.0,1.3,0.4,4598.0
2233.0,7.7,6.6,177.0,1.3,1.6,29558.0
2234.0,7.7,6.9,157.0,1.2,1.3,11818.0
2236.0,7.3,6.5,138.0,1.7,0.6,615.0
2238.0,5.8,7.1,220.0,1.3,1.6,1133.0
2239.0,5.3,6.8,132.0,2.3,0.8,62780.0
2240.0,6.2,6.8,138.0,1.6,1.3,2975.0
2241.0,6.3,6.8,136.0,1.0,1.4,31975.0
2242.0,4.9,6.8,177.0,1.7,1.8,6740.0
2523.0,6.7,7.4,166.0,3.0,0.3,344500.0
2524.0,7.6,7.6,141.0,2.4,0.3,15667.0
2235.0,7.7,7.0,355.0,0.8,1.4,5628.0
1064.0,6.9,8.0,391.0,4.1,0.3,5256.0
1065.0,6.2,7.9,316.0,5.1,0.3,5056.0
2482.0,8.0,8.0,305.0,2.6,0.0,5758.0
2483.0,3.3,8.4,508.0,36.5,0.0,224167.0
1361.0,7.3,13.2,237.0,3.7,0.1,4427.0
2484.0,7.8,8.2,298.0,2.9,0.0,10192.0
1350.0,8.7,8.1,392.0,2.7,1.3,1879.0
1351.0,8.0,8.0,454.0,3.3,1.6,3900.0
1352.0,2.6,7.6,568.0,9.5,4.0,118300.0
1353.0,7.7,8.2,323.0,3.3,0.0,16333.0
1072.0,7.8,8.1,306.0,3.0,0.0,11283.0
2491.0,7.5,8.0,478.0,3.4,0.4,1175.0
1363.0,7.1,8.1,438.0,2.8,0.3,494.0
1354.0,9.2,7.7,187.0,2.7,0.7,7258.0
1355.0,7.7,8.1,488.0,2.9,0.3,455.0
2492.0,7.5,8.1,529.0,3.4,0.4,1177.0
1076.0,8.6,8.2,260.0,2.2,0.0,2433.0
1359.0,7.6,8.1,286.0,2.4,0.6,2367.0
1360.0,7.9,8.1,281.0,2.3,0.6,2633.0
1075.0,8.1,8.1,232.0,1.9,0.0,1533.0
3121.0,8.2,7.6,250.0,2.1,0.0,1567.0
3127.0,8.3,8.0,252.0,2.2,0.0,1580.0
3128.0,7.7,7.8,298.0,2.2,0.0,2167.0
1078.0,8.6,8.1,238.0,2.0,0.0,1557.0
2568.0,8.4,8.1,247.0,1.8,0.0,1305.0
2570.0,7.9,8.0,302.0,2.1,0.0,2317.0
3124.0,16.3,8.1,269.0,2.0,0.0,1655.0
3125.0,8.0,7.4,346.0,2.0,0.0,1180.0
2575.0,6.5,7.5,319.0,3.5,0.0,5025.0
1820.0,4.2,7.3,418.0,7.1,0.0,7640.0
3134.0,4.3,7.1,450.0,30.0,0.0,6333.0
2562.0,8.0,8.0,290.0,2.4,0.0,3250.0
2558.0,4.4,7.2,370.0,4.7,0.0,4450.0
3126.0,8.1,8.1,228.0,1.8,0.0,1257.0
2567.0,8.6,8.1,338.0,2.1,0.0,950.0
2569.0,7.9,7.8,319.0,2.2,0.0,1840.0
3133.0,8.8,8.2,340.0,2.0,0.0,900.0
2563.0,5.6,7.4,330.0,3.5,0.0,5560.0
2565.0,7.0,7.4,184.0,2.0,0.0,1989.0
2566.0,7.1,7.6,211.0,2.0,0.0,2175.0
3137.0,7.1,7.4,215.0,2.1,0.0,1880.0
1821.0,7.8,7.8,326.0,2.4,0.0,2983.0
2560.0,5.4,7.5,404.0,3.3,0.0,5883.0
2561.0,7.7,7.8,333.0,2.3,0.0,2650.0
3129.0,4.5,7.2,289.0,5.3,0.0,3033.0
1823.0,7.3,7.8,288.0,2.8,0.0,4000.0
1824.0,7.0,7.4,251.0,2.5,0.0,3157.0
2559.0,2.1,6.9,461.0,8.6,0.0,14367.0
3130.0,7.2,7.6,299.0,2.2,0.0,2750.0
1822.0,2.1,7.2,457.0,11.0,0.0,16000.0
3132.0,8.0,7.9,276.0,1.7,0.0,2333.0
3135.0,8.4,7.9,306.0,2.0,0.0,1400.0
3119.0,7.9,7.8,300.0,2.2,0.0,2467.0
3120.0,8.0,7.9,289.0,2.1,0.0,1650.0
3136.0,2.1,7.3,432.0,9.7,0.0,12550.0
1023.0,5.8,7.2,640.0,6.0,4.3,4073.0
1024.0,4.8,7.6,1090.0,22.0,3.6,52500.0
1295.0,5.5,7.3,705.0,10.0,5.0,5433.0
1473.0,5.1,7.4,1375.0,23.7,5.9,50333.0
1698.0,5.5,7.4,745.0,10.0,6.1,29333.0
1699.0,5.0,7.6,975.0,16.3,6.1,21667.0
1700.0,4.9,7.7,1385.0,27.5,7.7,72000.0
1701.0,5.0,7.3,1067.0,19.3,6.2,39533.0
1702.0,5.3,7.2,970.0,13.3,5.9,7133.0
1703.0,4.9,7.7,1418.0,21.0,4.2,49500.0
1704.0,4.1,7.5,1015.0,23.0,6.1,57500.0
1705.0,4.8,7.4,854.0,17.0,4.7,38000.0
1718.0,4.0,6.8,370.0,3.0,0.8,9.0
1871.0,7.8,7.8,376.0,1.3,0.4,17.0
2624.0,7.7,7.7,354.0,1.3,0.3,22.0
2625.0,7.6,7.9,344.0,1.6,0.4,22.0
1870.0,4.4,7.1,694.0,41.0,1.2,224.0
2947.0,5.9,8.0,401.0,0.9,0.7,15.0
1717.0,6.0,7.2,106.0,0.8,0.4,15.0
2948.0,5.6,7.9,326.0,1.1,0.8,4.0
2949.0,6.2,8.1,592.0,1.0,0.7,6.0
2651.0,6.6,7.8,95.0,4.9,0.2,36.0
1461.0,6.9,7.9,99.0,5.0,0.4,34.0
2653.0,6.8,7.7,85.0,5.2,0.3,23.0
2654.0,6.7,7.8,80.0,4.9,0.3,29.0
1092.0,5.1,7.3,3937.0,10.3,1.8,83.0
2670.0,5.6,7.9,468.0,3.6,1.9,164.0
1152.0,6.4,7.6,541.0,5.7,0.6,45.0
2198.0,5.5,7.4,6166.0,7.7,1.1,67.0
2671.0,5.3,7.7,24062.0,9.9,1.2,304.0
2672.0,6.7,7.6,83.0,4.8,0.2,76.0
2168.0,3.6,7.4,4424.0,31.3,2.2,474.0
1151.0,5.9,7.4,268.0,6.4,0.4,68.0
1462.0,5.4,7.5,2413.0,7.4,1.5,116.0
2685.0,5.8,7.3,384.0,5.4,0.6,78.0
2686.0,5.9,7.4,269.0,5.1,1.2,60.0
2687.0,6.0,7.3,269.0,8.5,0.4,58.0
2688.0,6.1,7.3,196.0,6.1,0.5,63.0
2689.0,5.9,7.4,269.0,6.4,0.4,47.0
2696.0,6.3,7.8,223.0,4.6,0.9,32.0
2706.0,6.8,7.9,5390.0,4.9,0.8,28.0
2707.0,6.6,8.1,161.0,4.6,0.3,32.0
2708.0,6.7,8.0,138.0,5.0,0.3,33.0
2709.0,6.7,7.8,81.0,4.9,0.3,35.0
1093.0,5.9,7.7,194.0,5.5,0.6,51.0
1094.0,6.3,7.6,186.0,4.6,0.6,31.0
2162.0,6.6,7.6,207.0,4.7,0.7,31.0
2712.0,6.8,7.7,85.0,5.0,0.4,34.0
1189.0,3.7,7.9,453.0,7.5,2.2,1468.0
2655.0,5.8,8.1,523.0,5.7,2.1,1529.0
2656.0,5.9,7.9,524.0,11.1,3.0,609.0
1190.0,3.3,7.7,424.0,13.7,3.1,1800.0
1191.0,5.3,8.0,720.0,7.2,2.9,1700.0
1192.0,5.4,8.0,755.0,7.2,3.2,1675.0
1188.0,6.4,8.2,991.0,5.3,2.0,1425.0
28.0,6.2,8.2,1010.0,5.1,2.3,1529.0
1183.0,6.8,8.4,949.0,3.8,0.3,1600.0
1184.0,6.7,14.7,917.0,3.0,0.2,1542.0
1167.0,7.6,8.1,834.0,2.1,0.2,1600.0
1888.0,6.4,8.4,874.0,3.0,0.3,1483.0
1399.0,5.7,7.2,189.0,2.0,0.2,8391.0
1475.0,6.3,6.9,179.0,1.7,0.1,5330.0
3181.0,5.8,6.9,64.0,3.8,0.5,8443.0
3182.0,5.8,7.3,83.0,1.9,0.4,5500.0
1400.0,5.5,7.4,81.0,1.5,0.1,4049.0
1476.0,6.1,6.7,308.0,1.4,0.3,5672.0
3185.0,6.4,6.7,414.0,1.0,0.2,9423.0
3186.0,6.4,7.6,305.0,2.2,0.1,4990.0
3187.0,6.3,7.6,77.0,2.3,0.1,4301.0
1543.0,7.1,7.1,176.0,1.2,0.1,7817.0
1548.0,6.7,6.4,93.0,1.4,0.1,3433.0
2276.0,7.4,6.8,121.0,1.7,0.4,18125.0
2275.0,6.9,7.0,620.0,1.1,0.1,6300.0
3189.0,6.0,7.5,72.0,1.6,0.2,9517.0
1546.0,7.3,7.0,247.0,1.5,0.2,2453.0
2270.0,7.3,7.0,188.0,1.0,0.1,3048.0
2272.0,7.0,6.9,224.0,1.2,0.3,6742.0
1545.0,7.3,6.7,144.0,1.5,0.1,3052.0
2274.0,5.3,6.8,319.0,1.8,0.3,10250.0
2271.0,6.3,6.4,79.0,1.6,1.4,12842.0
2273.0,5.4,7.6,39.0,1.4,0.1,6367.0
3183.0,2.2,6.5,322.0,4.7,1.2,14920.0
3184.0,5.2,7.1,192.0,2.6,0.3,8925.0
3190.0,5.6,7.5,282.0,1.8,0.1,5082.0
3191.0,5.5,7.4,275.0,1.5,0.1,8625.0
1547.0,7.3,6.7,55.0,1.4,0.1,4003.0
3188.0,6.5,7.5,415.0,2.0,0.1,1538.0
1544.0,7.2,6.3,100.0,1.5,0.1,13575.0
2673.0,6.6,7.9,1610.0,4.7,0.4,107.0
2374.0,5.8,8.2,498.0,1.3,2.0,102.0
2375.0,5.2,8.2,555.0,1.6,2.9,158.0
1781.0,6.3,8.4,451.0,0.8,0.9,90.0
1157.0,6.6,8.4,427.0,1.0,1.0,82.0
1891.0,7.0,7.8,543.0,2.3,1.3,1400.0
2719.0,5.1,8.1,369.0,11.3,1.1,220.0
2720.0,6.0,8.2,403.0,8.9,1.0,130.0
2721.0,6.2,8.2,458.0,8.9,2.2,140.0
2174.0,5.1,8.2,577.0,10.7,2.3,140.0
2156.0,5.4,8.1,678.0,10.6,2.7,80.0
1212.0,5.7,8.2,498.0,8.9,2.1,70.0
1213.0,7.4,7.4,450.0,2.2,0.4,67.0
1214.0,7.3,8.0,386.0,2.3,1.0,95.0
3330.0,7.7,8.1,292.0,1.5,4.8,36.0
1910.0,4.8,8.3,482.0,10.8,6.0,277.0
2173.0,5.9,8.1,341.0,9.1,1.2,132.0
2172.0,5.3,8.2,273.0,9.6,1.7,180.0
2175.0,6.2,8.2,393.0,9.1,2.4,170.0
2176.0,5.3,8.2,388.0,10.6,1.2,240.0
11.0,5.7,8.2,366.0,8.6,0.9,280.0
1908.0,5.5,8.2,607.0,10.4,2.9,193.0
3312.0,7.4,7.7,403.0,2.1,0.3,127.0
1909.0,4.8,8.2,477.0,10.5,6.7,221.0
2170.0,5.5,8.2,534.0,10.1,2.7,157.0
2171.0,5.1,8.2,523.0,11.1,2.7,222.0
1913.0,4.7,8.4,940.0,15.1,11.5,273.0
2700.0,4.2,8.4,685.0,13.0,8.4,420.0
1315.0,5.1,8.3,435.0,9.7,2.5,231.0
2372.0,6.9,7.5,469.0,0.8,0.5,1100.0
2657.0,6.5,7.7,1127.0,5.7,0.3,108.0
2660.0,5.2,7.9,306.0,4.5,2.2,136.0
2661.0,4.7,7.9,262.0,3.4,1.2,106.0
2662.0,5.5,8.0,247.0,3.7,1.1,104.0
2663.0,5.4,8.1,244.0,3.6,1.0,117.0
2664.0,4.9,7.9,272.0,3.4,0.6,155.0
2697.0,5.8,8.3,506.0,8.5,2.6,34.0
2698.0,5.1,8.3,534.0,9.5,3.2,50.0
2699.0,4.9,8.4,966.0,12.8,11.7,247.0
2722.0,5.2,8.3,432.0,9.8,2.3,186.0
2723.0,4.7,8.2,432.0,11.2,2.3,246.0
1185.0,7.0,8.0,736.0,1.5,4.9,1250.0
1163.0,7.1,7.9,447.0,1.5,1.0,1040.0
1187.0,6.8,7.4,237.0,4.5,0.2,1460.0
1164.0,6.6,7.7,371.0,1.2,0.6,1080.0
1186.0,6.9,8.0,1004.0,3.3,2.1,1390.0
2764.0,7.1,7.9,1017.0,4.0,1.5,1350.0
38.0,7.2,7.9,286.0,2.4,0.1,157.0
1029.0,7.0,8.0,415.0,2.9,0.3,191.0
29.0,7.2,7.9,613.0,1.9,0.2,1542.0
2768.0,6.5,7.9,536.0,6.0,0.4,386.0
2769.0,6.5,7.9,398.0,4.0,0.2,288.0
2770.0,6.7,8.0,383.0,3.6,0.2,279.0
2776.0,7.2,8.1,448.0,1.9,0.2,1425.0
2766.0,7.2,7.9,313.0,2.7,0.1,152.0
2767.0,7.2,7.9,290.0,2.9,0.1,133.0
1174.0,7.1,8.1,956.0,2.2,2.5,544.0
1785.0,6.9,8.2,999.0,3.0,3.1,620.0
1168.0,6.0,7.8,166.0,3.5,0.2,734.0
1896.0,6.4,8.0,219.0,3.3,0.3,291.0
1091.0,5.5,13.7,223.0,1.0,0.1,2946.0
1387.0,5.8,7.7,245.0,4.2,0.2,1542.0
1169.0,6.0,7.8,226.0,3.3,0.2,302.0
2765.0,6.5,8.0,154.0,2.0,0.2,130.0
2771.0,5.5,7.4,185.0,1.0,0.1,2064.0
3082.0,5.4,8.2,1062.0,2.1,2.6,67.0
1178.0,6.9,8.0,838.0,0.9,0.6,1450.0
1177.0,6.6,8.3,905.0,0.7,0.5,1400.0
1895.0,6.9,8.3,596.0,2.6,0.3,1425.0
2777.0,6.8,8.4,575.0,2.6,0.4,1483.0
2349.0,4.8,7.9,1868.0,5.6,10.3,181.0
2351.0,6.8,7.8,648.0,3.6,5.0,554.0
2763.0,7.0,8.1,734.0,1.3,0.9,1460.0
1549.0,7.3,7.2,46.0,1.2,1.23,413.0
2269.0,7.1,6.7,48.0,1.4,0.26,12640.0
3175.0,7.4,6.9,80.0,0.8,0.0,329.0
3176.0,4.1,6.7,141.0,2.0,1.0,7894.0
3177.0,2.7,6.4,137.0,2.2,0.77,4719.0
3178.0,5.9,6.6,110.0,2.7,1.0,12638.0
3179.0,1.3,6.6,350.0,2.9,0.0,32714.0
3180.0,4.9,6.5,148.0,2.8,1.05,4218.0
1343.0,6.5,8.6,649.0,21.8,4.0,2487.0
1344.0,7.03,8.1,320.0,29.5,3.23,12400.0
1345.0,7.8,8.0,2225.0,5.5,2.0,2448.0
1346.0,6.4,8.0,23125.0,4.8,2.0,178.0
1975.0,6.8,8.0,1870.0,13.0,1.0,29.0
1976.0,7.1,7.5,2100.0,21.0,1.0,95.0
1979.0,5.9,7.8,1453.0,7.3,6.45,7.0
1971.0,2.4,8.0,351.0,6.6,6.22,959.0
1373.0,8.3,8.3,270.0,2.1,3.0,87.0
1374.0,9.1,8.0,461.0,5.5,1.06,363.0
1466.0,5.8,7.7,872.0,1.9,12.0,170.0
2128.0,7.6,7.5,408.0,2.0,1.92,55.0
2129.0,6.8,7.5,428.0,2.1,2.0,82.0
2135.0,7.5,7.4,59.0,3.1,5.0,364.0
2136.0,7.6,7.9,680.0,6.4,17.0,382.0
2137.0,8.2,8.3,263.0,2.3,3.0,97.0
2138.0,8.2,8.2,277.0,2.2,2.0,88.0
2139.0,7.1,8.1,273.0,2.2,4.0,94.0
2140.0,7.3,7.9,301.0,1.8,6.66,93.0
2141.0,4.4,7.7,464.0,4.4,12.0,260.0
3299.0,7.3,7.9,502.0,7.6,2.0,121.0
3300.0,7.4,7.7,495.0,5.0,3.0,200.0
3301.0,6.9,7.5,448.0,4.3,2.0,49.0
1285.0,5.3,8.2,572.0,1.5,1.0,65.0
1286.0,4.6,8.4,1463.0,3.2,1.0,557.0
1414.0,4.7,8.2,321.0,1.5,1.0,242.0
1481.0,5.0,8.4,583.0,1.2,1.0,12.0
1714.0,8.4,8.3,300.0,1.0,2.0,21.0
1716.0,5.7,8.0,295.0,1.1,1.0,9.0
2935.0,4.5,7.9,483.0,1.5,1.0,15.0
2936.0,5.0,8.0,314.0,1.9,2.0,7.0
2937.0,5.1,7.9,266.0,0.9,1.08,7.0
2938.0,5.0,8.6,604.0,1.2,2.29,11.0
2939.0,4.9,8.6,593.0,1.1,1.0,7.0
2940.0,4.4,8.1,538.0,1.2,1.0,14.0
2941.0,5.6,8.4,591.0,1.1,3.0,8.0
2942.0,5.8,8.5,588.0,1.2,3.0,6.0
2943.0,4.1,7.9,1133.0,2.3,2.0,67.0
2944.0,3.5,8.9,2004.0,6.5,1.0,248.0
1342.0,6.7,7.5,85.0,1.4,1.0,420.0
1443.0,5.8,7.4,77.0,1.4,0.8,691.0
3465.0,6.6,7.5,75.0,1.4,0.7,448.0
3466.0,6.7,7.5,82.0,1.4,1.0,443.0
2297.0,6.7,6.9,56.0,0.9,0.2,172.0
2319.0,6.5,6.7,2240.0,1.2,0.2,304.0
2286.0,6.3,6.9,73.0,1.6,0.0,2008.0
2331.0,7.0,7.4,130.0,0.7,0.1,590.0
2332.0,6.6,7.7,191.0,1.6,0.2,661.0
1154.0,6.9,6.9,134.0,1.1,0.4,531.0
20.0,7.0,7.5,80.0,0.8,0.4,3583.0
21.0,6.7,7.4,14526.0,0.8,0.6,1969.0
3464.0,7.2,7.4,82.0,0.7,0.5,1311.0
1572.0,7.5,7.2,67.0,1.1,0.1,590.0
1573.0,3.0,6.6,965.0,1.7,1.2,530.0
2295.0,5.9,7.4,17990.0,0.7,0.5,2803.0
1564.0,6.7,7.5,90.0,1.6,0.9,473.0
2287.0,6.1,7.4,4429.0,2.0,1.6,550.0
1566.0,6.7,6.9,87.0,1.7,0.2,350.0
2293.0,6.9,6.8,85.0,1.6,0.2,206.0
2337.0,2.1,6.8,101.0,1.6,0.8,694.0
2338.0,2.5,6.9,83.0,1.9,0.3,656.0
