STATION CODE,LOCATIONS,STATE
1342,"ACHENKOIL AT THUMPAMON, KERALA",KERALA
1443,"ACHENKOIL AT CHENNITHULA, KERALA",KERALA
3465,"ACHENKOIL AT KALLARAKADAVU, PATHANaNMTHITTA",KERALA
3466,"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE), PATHANaNMTHITTA",KERALA
2297,R ANCHARAKANDY AT MERUVAMBA,KERALA
2319,R ANCHARAKANDY AT MERUVAMBA,KERALA
2286,R AYROOR AT AYROOR BRIDGE,KERALA
2331,R BHARATHAPUZHA AT KUTTIPPURAM,KERALA
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA
1154,"CHALAKUDY AT PULICKALKANaNDAVU, KERALA",KERALA
20,"CHALIYAR AT KOOLIMADU, KERALA",KERALA
21,"CHALIYAR AT CHUNGAPALLY, KERALA",KERALA
3464,"CHALIYAR AT NILAMBUR, MALAPPURAM",KERALA
1572,"CHANDRAGIRI AT PADIYATHADKA, KERALA",KERALA
1573,"CHITRAPUZHA AT IRUMPANaNM, KERALA",KERALA
2295,R CORAPUZHA AT KANaNYANKODE,KERALA
1564,"R ITHIKKARA AT AYUR, KERALA",KERALA
2287,R ITHIKKARA AT ITHIKKARA,KERALA
1566,"R KADALUNDI AT THIRURANGADY, KERALA",KERALA
2293,R KADALUNDI AT HAJIRAPPALLY,KERALA
2337,R KADAMBAYAR AT BRAHMAPURAM,KERALA
2338,R KADAMBAYAR AT MANCKAKADAVU,KERALA
42,"KALLADA AT PERUMTHOTTAMKADAVU, PUNaNLOOR, KERALA",KERALA
2294,R KALLAI AT KALLAI BRIDGE,KERALA
3460,"KALPATHI PUZHA AT KALPATHI, PALAKKAD",KERALA
3458,KARAPUZHA DAM AT WAYANaND,KERALA
1571,"R KARINGODE AT KAKKADAVU,  KERALA",KERALA
1155,"KARAMANaN AT MOONNaNTTUMUKKU, KERALA",KERALA
3471,"RIVER KARAMANaN AT ARUVIKARA, THIRUVANaNTHAPURAM",KERALA
2289,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA
2301,R KAVVAI AT KUTTIYOL PALAM,KERALA
2291,R KEECHERI AT VADAKKANCHERY BRIDGE,KERALA
2326,R KORAYAR AT KANJIKODE,KERALA
1569,"R KUPPAM AT THALIPARAMBA, KERALA",KERALA
2298,R KUPPAM AT RAYAROM,KERALA
1567,"R KUTTIYADE AT KUTTIYADY ESTATE, KERALA",KERALA
1568,"R MAHE AT VALAYAM, KERALA",KERALA
2285,R MAMOM AT MAMOM BRIDGE,KERALA
1340,"MANIMALA  AT KALLOOPARA, KERALA",KERALA
1384,"MANIMALA AT THONDRA, KERALA",KERALA
3459,"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANaND",KERALA
2307,R MANJESWAR AT BAJRAKKARA BR.,KERALA
1339,"MEENaNCHIL AT KIDANGOOR, KERALA",KERALA
2304,R MOGRAL AT MOGRAL BR.,KERALA
43,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA
2302,R NEELASWARAM AT NaNMBIARKAL DAM,KERALA
1570,"R NEELESWARAM AT HOSDURG, KERALA",KERALA
1563,"R NEYYAR AT AMARAVILA, KERALA",KERALA
2284,R NEYYAR AT ARUVIPURAM,KERALA
2288,R PALLICKAL AT NELLIMUKAL,KERALA
1156,"PAMBA AT CHENGANNUR, KERALA",KERALA
1341,"PAMBA AT THAKAZHY, KERALA",KERALA
1565,"PAMBA DOWN, KERALA",KERALA
17,"PERIYAR NEAR ALWAYENaNELOOR, KERALA",KERALA
18,"PERIYAR AT KALADY, KERALA",KERALA
1338,"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA
2333,RIVER PERIYAR AT MUPPATHADAM,KERALA
2334,RIVER PERIYAR AT PATHALAM,KERALA
2335,R PERIYAR AT KALAMASSERY,KERALA
2336,R PERIYAR AT PURAPPALLIKAVU,KERALA
3468,"PERIYAR AT KWA INTAKENaN ALUVA, ERNaNKULAM",KERALA
2300,R PERUVAMBA AT CHANDAPPURA,KERALA
2303,R PULLUR AT PULLUR BR.,KERALA
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA
2305,R SHRIYA AT ANGADIMOGARU,KERALA
2296,R THALLASSERY AT PATHIPPALAM,KERALA
2292,R THIRUR AT THALAKKADATHUR BRIDGE,KERALA
2306,R UPPALA AT  UPPALA BR.,KERALA
3473,"RIVER VALAPATTANaNM AT PARASSINIKADAVU, KANNUR",KERALA
1442,"VAMANaNPURAM, KERALA",KERALA
1448,"NaNGAVALLI AT THOTAPALLI REGULATOR, A.P.",ANDHRA PRADESH
2352,"RIVER VAMSHADHARA, KALINGAPATNaNM,VIZIANaNGARAM",ANDHRA PRADESH
3080,"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH
3081,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH
1444,"KALI AT D/S WEST COAST PAPER MILL, KARNaNTAKA",KARNaNTAKA
2780,"KALI AT U/S OF WCPM, DANDELI, KARNaNTAKA",KARNaNTAKA
1894,KUMARADHARA NaN U/S OF UPPINaNGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,KARNaNTAKA
1892,NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,KARNaNTAKA
2423,"BUDHABALANGA, D/S OF BARIPADA TOWN",ODISHA
2424,BUDHABALANGA AT BALASORE D/S,ODISHA
2425,"RIVER KERANDI(INTAKE WELL OF NaNLCO REFINaNRY, HAL, SUNaNBEDA)",ODISHA
2422,"NaNGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",ODISHA
1642,"NaNGAVALLI AT JAYKAYPUR D/S, ODISHA",ODISHA
1643,"NaNGAVALLI AT RAYAGADA D/S, ODISHA",ODISHA
