STATION CODE,Potability
2168.0,0
1151.0,0
1462.0,0
2685.0,0
2686.0,0
2687.0,0
2688.0,0
2689.0,0
2696.0,0
2706.0,0
2707.0,0
2708.0,0
2709.0,0
1093.0,0
1094.0,0
2162.0,0
2712.0,0
1189.0,0
2655.0,0
2656.0,0
1190.0,0
1191.0,0
1192.0,0
1188.0,0
28.0,0
1183.0,0
1184.0,0
1167.0,1
1888.0,0
1399.0,0
1475.0,0
3181.0,0
3182.0,0
1400.0,1
1476.0,0
3185.0,0
3186.0,1
3187.0,1
1543.0,0
1548.0,1
2276.0,0
2275.0,0
3189.0,0
1546.0,1
2270.0,1
2272.0,0
1545.0,1
2274.0,0
2271.0,0
2273.0,0
3183.0,0
3184.0,0
3190.0,0
3191.0,0
1547.0,1
3188.0,1
1544.0,0
2673.0,0
2374.0,1
2375.0,1
1781.0,1
1157.0,1
1891.0,1
2719.0,0
2720.0,0
2721.0,0
2174.0,0
2156.0,0
1212.0,0
1213.0,1
1214.0,1
3330.0,1
1910.0,0
2173.0,0
2172.0,0
2175.0,0
2176.0,0
11.0,0
1908.0,0
3312.0,1
1909.0,0
2170.0,0
2171.0,0
1913.0,0
2700.0,0
1315.0,0
2372.0,1
2657.0,0
2660.0,0
2661.0,0
2662.0,0
2663.0,0
2664.0,0
2697.0,0
2698.0,0
2699.0,0
2722.0,0
2723.0,0
1185.0,1
1163.0,1
1187.0,0
1164.0,1
1186.0,0
2764.0,0
38.0,1
1029.0,1
29.0,1
2768.0,0
2769.0,0
2770.0,0
2776.0,1
2766.0,1
2767.0,1
1174.0,1
1785.0,0
1168.0,0
1896.0,0
1091.0,0
1387.0,0
1169.0,0
2765.0,1
2771.0,1
3082.0,1
1178.0,1
1177.0,1
1895.0,1
2777.0,1
2349.0,0
2351.0,0
2763.0,1
1549.0,1
2269.0,0
3175.0,1
3176.0,0
3177.0,0
3178.0,0
3179.0,0
3180.0,1
1343.0,0
1344.0,0
1345.0,0
1346.0,0
1975.0,0
1976.0,0
1979.0,0
1971.0,0
1373.0,1
1374.0,0
1466.0,1
2128.0,1
2129.0,1
2135.0,0
2136.0,0
2137.0,1
2138.0,1
2139.0,1
2140.0,1
2141.0,0
3299.0,0
3300.0,0
3301.0,0
1285.0,1
1286.0,0
1414.0,1
1481.0,1
1714.0,1
1716.0,1
2935.0,1
2936.0,1
2937.0,1
2938.0,1
2939.0,1
2940.0,1
2941.0,1
2942.0,1
2943.0,1
2944.0,0
1342.0,1
1443.0,1
3465.0,1
3466.0,1
2297.0,1
2319.0,1
2286.0,1
2331.0,1
2332.0,1
1154.0,1
20.0,1
21.0,1
3464.0,1
1572.0,1
1573.0,0
2295.0,1
1564.0,1
2287.0,1
1566.0,1
2293.0,1
2337.0,0
2338.0,0
42.0,1
2294.0,0
3460.0,1
3458.0,1
1571.0,1
1155.0,0
3471.0,1
2289.0,1
2301.0,1
2291.0,1
2326.0,1
1569.0,1
2298.0,1
1567.0,1
1568.0,0
2285.0,1
1340.0,1
1384.0,1
3459.0,1
2307.0,1
1339.0,1
2304.0,1
43.0,1
2302.0,1
1570.0,1
1563.0,1
2284.0,1
2288.0,1
1156.0,1
1341.0,1
1565.0,0
17.0,1
18.0,1
1338.0,1
2333.0,1
2334.0,1
2335.0,0
2336.0,1
3468.0,1
2300.0,1
2303.0,1
2290.0,1
2299.0,1
2305.0,1
2296.0,1
2292.0,1
2306.0,1
3473.0,1
1442.0,1
1448.0,1
2352.0,1
3080.0,1
3081.0,1
1444.0,1
2780.0,1
1894.0,1
1892.0,1
2423.0,0
2424.0,0
2425.0,0
2422.0,0
1642.0,0
1643.0,0
1455.0,1
1456.0,1
2426.0,0
2427.0,0
1450.0,1
1159.0,1
1160.0,1
1161.0,1
1162.0,1
1328.0,1
1329.0,0
1330.0,1
3025.0,1
3026.0,1
3027.0,1
3028.0,1
3029.0,1
3023.0,0
3383.0,1
3384.0,1
3380.0,1
1632.0,1
1428.0,0
3369.0,1
3370.0,1
3371.0,1
3375.0,0
3376.0,1
3381.0,1
3382.0,1
3377.0,1
3378.0,1
1631.0,1
3379.0,0
3367.0,0
3368.0,1
3372.0,1
1633.0,1
3353.0,1
3354.0,1
3355.0,1
3356.0,1
3350.0,1
3351.0,1
3352.0,1
3359.0,0
3360.0,0
3361.0,0
3362.0,0
3357.0,1
3358.0,1
3363.0,1
3364.0,0
3365.0,0
1427.0,0
3366.0,1
3373.0,1
3374.0,1
2051.0,1
1403.0,1
1404.0,0
1726.0,0
1150.0,1
1246.0,1
1434.0,0
1149.0,1
1860.0,1
1148.0,1
1862.0,0
1399.0,0
1475.0,1
3181.0,0
3182.0,1
1400.0,0
1476.0,1
3185.0,0
3186.0,0
3187.0,0
1543.0,1
1548.0,0
2276.0,0
2275.0,1
3189.0,0
1546.0,1
2270.0,1
2272.0,1
1545.0,1
2274.0,0
2271.0,0
2273.0,1
3183.0,0
3184.0,1
3190.0,0
3191.0,0
1547.0,1
